CollegeID,College,City,State,Program,Duration(Years),Total Graduating students,Year Placed,Students placed,Median salary per annum(Rs.),Higher Studies Student
IR-E-U-0560,Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,PG-Integrated,5,123,2022,95,2254000,28
IR-E-U-0560,Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,PG-Integrated,5,114,2023,86,2320000,28
IR-E-U-0560,Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,UG,4,771,2018,598,1320000,172
IR-E-U-0560,Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,UG,4,825,2019,726,1450900,99
IR-E-U-0560,Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,UG,4,794,2020,663,1754000,131
IR-E-U-0560,Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,PG-Integrated,5,112,2018,79,1190000,33
IR-E-U-0560,Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,PG-Integrated,5,90,2019,69,1500000,21
IR-E-U-0560,Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,PG-Integrated,5,83,2020,79,1957000,4
IR-E-U-0458,Kalasalingam Academy of Research and Education,Srivilliputhur,Tamil Nadu,UG,4,1166,2021,1084,480000,52
IR-E-U-0458,Kalasalingam Academy of Research and Education,Srivilliputhur,Tamil Nadu,UG,4,1220,2022,1147,550000,55
IR-E-U-0458,Kalasalingam Academy of Research and Education,Srivilliputhur,Tamil Nadu,UG,4,1278,2023,1219,675000,50
IR-E-U-0458,Kalasalingam Academy of Research and Education,Srivilliputhur,Tamil Nadu,PG,2,130,2021,108,578000,2
IR-E-U-0458,Kalasalingam Academy of Research and Education,Srivilliputhur,Tamil Nadu,PG,2,129,2022,109,684000,5
IR-E-U-0458,Kalasalingam Academy of Research and Education,Srivilliputhur,Tamil Nadu,UG,4,547,2018,521,320000,26
IR-E-U-0458,Kalasalingam Academy of Research and Education,Srivilliputhur,Tamil Nadu,UG,4,1144,2019,1040,367000,48
IR-E-U-0458,Kalasalingam Academy of Research and Education,Srivilliputhur,Tamil Nadu,UG,4,1332,2020,1219,401000,50
IR-E-U-0458,Kalasalingam Academy of Research and Education,Srivilliputhur,Tamil Nadu,PG,2,65,2018,63,360000,1
IR-E-U-0458,Kalasalingam Academy of Research and Education,Srivilliputhur,Tamil Nadu,PG,2,40,2019,36,369000,3
IR-E-U-0584,Indian Institute of Engineering Science and Technology Shibpur,Howrah,West Bengal,UG,4,490,2021,335,720000,91
IR-E-U-0584,Indian Institute of Engineering Science and Technology Shibpur,Howrah,West Bengal,UG,4,546,2022,479,730000,50
IR-E-U-0584,Indian Institute of Engineering Science and Technology Shibpur,Howrah,West Bengal,UG,4,629,2023,567,850000,60
IR-E-U-0584,Indian Institute of Engineering Science and Technology Shibpur,Howrah,West Bengal,PG,2,235,2021,48,736000,72
IR-E-U-0584,Indian Institute of Engineering Science and Technology Shibpur,Howrah,West Bengal,PG,2,256,2022,132,750000,98
IR-E-U-0584,Indian Institute of Engineering Science and Technology Shibpur,Howrah,West Bengal,PG,2,205,2023,136,750000,57
IR-E-U-0584,Indian Institute of Engineering Science and Technology Shibpur,Howrah,West Bengal,UG,4,351,2018,245,620000,37
IR-E-U-0584,Indian Institute of Engineering Science and Technology Shibpur,Howrah,West Bengal,UG,4,457,2019,330,650000,52
IR-E-U-0584,Indian Institute of Engineering Science and Technology Shibpur,Howrah,West Bengal,UG,4,540,2020,381,700000,56
IR-E-U-0584,Indian Institute of Engineering Science and Technology Shibpur,Howrah,West Bengal,PG,2,184,2018,43,625000,63
IR-E-U-0584,Indian Institute of Engineering Science and Technology Shibpur,Howrah,West Bengal,PG,2,182,2019,38,680000,68
IR-E-U-0584,Indian Institute of Engineering Science and Technology Shibpur,Howrah,West Bengal,PG,2,191,2020,45,700000,69
IR-E-U-0584,Indian Institute of Engineering Science and Technology Shibpur,Howrah,West Bengal,PG-Integrated,5,0,2018,0,0,0
IR-E-U-0584,Indian Institute of Engineering Science and Technology Shibpur,Howrah,West Bengal,PG-Integrated,5,46,2019,11,680000,2
IR-E-U-0584,Indian Institute of Engineering Science and Technology Shibpur,Howrah,West Bengal,PG-Integrated,5,59,2020,16,700000,11
IR-E-U-0055,National Institute of Technology Silchar,Silchar,Assam,UG,4,588,2021,474,750000,28
IR-E-U-0055,National Institute of Technology Silchar,Silchar,Assam,UG,4,662,2022,600,1100000,22
IR-E-U-0055,National Institute of Technology Silchar,Silchar,Assam,UG,4,823,2023,694,1395000,28
IR-E-U-0055,National Institute of Technology Silchar,Silchar,Assam,PG,2,179,2021,85,650000,81
IR-E-U-0055,National Institute of Technology Silchar,Silchar,Assam,PG,2,249,2022,124,600000,53
IR-E-U-0055,National Institute of Technology Silchar,Silchar,Assam,PG,2,179,2023,109,600000,30
IR-E-U-0055,National Institute of Technology Silchar,Silchar,Assam,UG,4,496,2018,361,570000,34
IR-E-U-0055,National Institute of Technology Silchar,Silchar,Assam,UG,4,553,2019,407,640000,23
IR-E-U-0055,National Institute of Technology Silchar,Silchar,Assam,UG,4,548,2020,407,660000,13
IR-E-U-0055,National Institute of Technology Silchar,Silchar,Assam,PG,2,167,2018,9,519000,73
IR-E-U-0055,National Institute of Technology Silchar,Silchar,Assam,PG,2,185,2019,25,525000,75
IR-E-U-0105,Indraprastha Institute of Information Technology Delhi,New Delhi,Delhi,UG,4,326,2021,274,1500000,26
IR-E-U-0105,Indraprastha Institute of Information Technology Delhi,New Delhi,Delhi,UG,4,355,2022,340,1700000,13
IR-E-U-0105,Indraprastha Institute of Information Technology Delhi,New Delhi,Delhi,UG,4,425,2023,390,1850000,33
IR-E-U-0105,Indraprastha Institute of Information Technology Delhi,New Delhi,Delhi,PG,2,193,2021,187,1400000,2
IR-E-U-0105,Indraprastha Institute of Information Technology Delhi,New Delhi,Delhi,PG,2,213,2022,208,1541000,2
IR-E-U-0105,Indraprastha Institute of Information Technology Delhi,New Delhi,Delhi,UG,4,143,2018,120,1200000,23
IR-E-U-0105,Indraprastha Institute of Information Technology Delhi,New Delhi,Delhi,UG,4,156,2019,132,1300000,16
IR-E-U-0105,Indraprastha Institute of Information Technology Delhi,New Delhi,Delhi,UG,4,223,2020,191,1500000,14
IR-E-U-0105,Indraprastha Institute of Information Technology Delhi,New Delhi,Delhi,PG,2,105,2018,96,1000000,5
IR-E-U-0105,Indraprastha Institute of Information Technology Delhi,New Delhi,Delhi,PG,2,114,2019,108,1500000,5
IR-E-U-0105,Indraprastha Institute of Information Technology Delhi,New Delhi,Delhi,PG,2,206,2020,195,1400000,6
IR-E-U-0374,Dr B R Ambedkar National Institute of Technology Jalandhar,Jalandhar,Punjab,UG,4,702,2021,379,650000,58
IR-E-U-0374,Dr B R Ambedkar National Institute of Technology Jalandhar,Jalandhar,Punjab,UG,4,662,2022,556,891000,83
IR-E-U-0374,Dr B R Ambedkar National Institute of Technology Jalandhar,Jalandhar,Punjab,UG,4,750,2023,666,900000,43
IR-E-U-0374,Dr B R Ambedkar National Institute of Technology Jalandhar,Jalandhar,Punjab,PG,2,311,2021,60,650000,74
IR-E-U-0374,Dr B R Ambedkar National Institute of Technology Jalandhar,Jalandhar,Punjab,PG,2,335,2022,131,720000,93
IR-E-U-0374,Dr B R Ambedkar National Institute of Technology Jalandhar,Jalandhar,Punjab,PG,2,262,2023,127,720000,68
IR-E-U-0374,Dr B R Ambedkar National Institute of Technology Jalandhar,Jalandhar,Punjab,UG,4,701,2018,514,600000,95
IR-E-U-0374,Dr B R Ambedkar National Institute of Technology Jalandhar,Jalandhar,Punjab,UG,4,685,2019,490,600000,104
IR-E-U-0374,Dr B R Ambedkar National Institute of Technology Jalandhar,Jalandhar,Punjab,UG,4,681,2020,438,628000,22
IR-E-U-0374,Dr B R Ambedkar National Institute of Technology Jalandhar,Jalandhar,Punjab,PG,2,144,2018,68,660000,64
IR-E-U-0374,Dr B R Ambedkar National Institute of Technology Jalandhar,Jalandhar,Punjab,PG,2,175,2019,71,530000,89
IR-E-U-0374,Dr B R Ambedkar National Institute of Technology Jalandhar,Jalandhar,Punjab,PG,2,168,2020,43,650000,21
IR-E-U-0497,Amity University,Gautam Budh Nagar,Uttar Pradesh,UG,4,1780,2021,1200,360000,200
IR-E-U-0497,Amity University,Gautam Budh Nagar,Uttar Pradesh,UG,4,1486,2022,1227,450000,97
IR-E-U-0497,Amity University,Gautam Budh Nagar,Uttar Pradesh,UG,4,1401,2023,1198,630000,186
IR-E-U-0497,Amity University,Gautam Budh Nagar,Uttar Pradesh,PG,2,122,2021,95,343000,16
IR-E-U-0497,Amity University,Gautam Budh Nagar,Uttar Pradesh,PG,2,118,2022,101,500000,2
IR-E-U-0497,Amity University,Gautam Budh Nagar,Uttar Pradesh,PG-Integrated,5,93,2021,70,380000,10
IR-E-U-0497,Amity University,Gautam Budh Nagar,Uttar Pradesh,PG-Integrated,5,81,2022,56,500000,5
IR-E-U-0497,Amity University,Gautam Budh Nagar,Uttar Pradesh,PG-Integrated,5,82,2023,61,463000,19
IR-E-U-0497,Amity University,Gautam Budh Nagar,Uttar Pradesh,UG,4,1851,2018,972,300000,331
IR-E-U-0497,Amity University,Gautam Budh Nagar,Uttar Pradesh,UG,4,1840,2019,985,375000,252
IR-E-U-0497,Amity University,Gautam Budh Nagar,Uttar Pradesh,UG,4,1838,2020,1038,375000,271
IR-E-U-0497,Amity University,Gautam Budh Nagar,Uttar Pradesh,PG,2,155,2018,111,300000,19
IR-E-U-0497,Amity University,Gautam Budh Nagar,Uttar Pradesh,PG,2,153,2019,124,354000,21
IR-E-U-0497,Amity University,Gautam Budh Nagar,Uttar Pradesh,PG-Integrated,5,111,2018,57,300000,20
IR-E-U-0497,Amity University,Gautam Budh Nagar,Uttar Pradesh,PG-Integrated,5,95,2019,32,300000,7
IR-E-U-0497,Amity University,Gautam Budh Nagar,Uttar Pradesh,PG-Integrated,5,98,2020,57,355000,6
IR-E-U-0263,National Institute of Technology Calicut,Kozhikode,Kerala,UG,4,850,2021,745,970000,92
IR-E-U-0263,National Institute of Technology Calicut,Kozhikode,Kerala,UG,4,861,2022,759,1080000,84
IR-E-U-0263,National Institute of Technology Calicut,Kozhikode,Kerala,UG,4,894,2023,811,1170000,75
IR-E-U-0263,National Institute of Technology Calicut,Kozhikode,Kerala,PG,2,400,2021,345,935000,52
IR-E-U-0263,National Institute of Technology Calicut,Kozhikode,Kerala,PG,2,421,2022,364,980000,45
IR-E-U-0263,National Institute of Technology Calicut,Kozhikode,Kerala,PG,2,428,2023,390,1120000,30
IR-E-U-0263,National Institute of Technology Calicut,Kozhikode,Kerala,UG,4,856,2018,758,720000,92
IR-E-U-0263,National Institute of Technology Calicut,Kozhikode,Kerala,UG,4,832,2019,760,805000,61
IR-E-U-0263,National Institute of Technology Calicut,Kozhikode,Kerala,UG,4,801,2020,679,898000,58
IR-E-U-0263,National Institute of Technology Calicut,Kozhikode,Kerala,PG,2,393,2018,308,780000,75
IR-E-U-0263,National Institute of Technology Calicut,Kozhikode,Kerala,PG,2,399,2019,312,900000,80
IR-E-U-0263,National Institute of Technology Calicut,Kozhikode,Kerala,PG,2,348,2020,282,950000,57
IR-E-U-0149,Sardar Vallabhbhai National Institute of Technology,SURAT,Gujarat,UG,4,708,2021,479,690000,136
IR-E-U-0149,Sardar Vallabhbhai National Institute of Technology,SURAT,Gujarat,UG,4,733,2022,568,801000,129
IR-E-U-0149,Sardar Vallabhbhai National Institute of Technology,SURAT,Gujarat,UG,4,788,2023,656,950000,81
IR-E-U-0149,Sardar Vallabhbhai National Institute of Technology,SURAT,Gujarat,PG,2,299,2021,80,690000,56
IR-E-U-0149,Sardar Vallabhbhai National Institute of Technology,SURAT,Gujarat,PG,2,376,2022,252,650000,58
IR-E-U-0149,Sardar Vallabhbhai National Institute of Technology,SURAT,Gujarat,UG,4,739,2018,503,667000,87
IR-E-U-0149,Sardar Vallabhbhai National Institute of Technology,SURAT,Gujarat,UG,4,727,2019,516,672000,76
IR-E-U-0149,Sardar Vallabhbhai National Institute of Technology,SURAT,Gujarat,UG,4,720,2020,483,745000,132
IR-E-U-0149,Sardar Vallabhbhai National Institute of Technology,SURAT,Gujarat,PG,2,277,2018,109,534000,37
IR-E-U-0149,Sardar Vallabhbhai National Institute of Technology,SURAT,Gujarat,PG,2,257,2019,106,550000,32
IR-E-U-0530,Motilal Nehru National Institute of Technology,Prayagraj,Uttar Pradesh,UG,4,860,2021,707,900000,124
IR-E-U-0530,Motilal Nehru National Institute of Technology,Prayagraj,Uttar Pradesh,UG,4,889,2022,768,1200000,78
IR-E-U-0530,Motilal Nehru National Institute of Technology,Prayagraj,Uttar Pradesh,UG,4,905,2023,803,1700000,4
IR-E-U-0530,Motilal Nehru National Institute of Technology,Prayagraj,Uttar Pradesh,PG,2,367,2021,104,1065000,53
IR-E-U-0530,Motilal Nehru National Institute of Technology,Prayagraj,Uttar Pradesh,PG,2,430,2022,208,1100000,30
IR-E-U-0530,Motilal Nehru National Institute of Technology,Prayagraj,Uttar Pradesh,UG,4,812,2018,656,795000,32
IR-E-U-0530,Motilal Nehru National Institute of Technology,Prayagraj,Uttar Pradesh,UG,4,832,2019,671,800000,107
IR-E-U-0530,Motilal Nehru National Institute of Technology,Prayagraj,Uttar Pradesh,UG,4,861,2020,568,1159000,282
IR-E-U-0530,Motilal Nehru National Institute of Technology,Prayagraj,Uttar Pradesh,PG,2,272,2018,106,600000,45
IR-E-U-0530,Motilal Nehru National Institute of Technology,Prayagraj,Uttar Pradesh,PG,2,301,2019,84,675000,98
IR-E-U-0530,Motilal Nehru National Institute of Technology,Prayagraj,Uttar Pradesh,PG,2,303,2020,101,900000,185
IR-E-U-0042,University of Hyderabad,Hyderabad,Telangana,PG,2,152,2021,76,4750000,15
IR-E-U-0042,University of Hyderabad,Hyderabad,Telangana,PG,2,174,2022,82,440000,25
IR-E-U-0042,University of Hyderabad,Hyderabad,Telangana,PG,2,78,2023,36,660000,42
IR-E-U-0042,University of Hyderabad,Hyderabad,Telangana,PG-Integrated,5,10,2021,9,650000,1
IR-E-U-0042,University of Hyderabad,Hyderabad,Telangana,PG-Integrated,5,20,2022,18,730000,2
IR-E-U-0042,University of Hyderabad,Hyderabad,Telangana,PG-Integrated,5,16,2023,12,620000,4
IR-E-U-0389,Banasthali Vidyapith,Banasthali,Rajasthan,UG,4,867,2021,718,560000,77
IR-E-U-0389,Banasthali Vidyapith,Banasthali,Rajasthan,UG,4,853,2022,759,750000,71
IR-E-U-0389,Banasthali Vidyapith,Banasthali,Rajasthan,UG,4,885,2023,864,905000,16
IR-E-U-0389,Banasthali Vidyapith,Banasthali,Rajasthan,PG,2,42,2021,15,450000,8
IR-E-U-0389,Banasthali Vidyapith,Banasthali,Rajasthan,PG,2,44,2022,19,560000,11
IR-E-U-0389,Banasthali Vidyapith,Banasthali,Rajasthan,UG,4,753,2018,524,350000,36
IR-E-U-0389,Banasthali Vidyapith,Banasthali,Rajasthan,UG,4,714,2019,496,460000,49
IR-E-U-0389,Banasthali Vidyapith,Banasthali,Rajasthan,UG,4,719,2020,619,540000,61
IR-E-U-0389,Banasthali Vidyapith,Banasthali,Rajasthan,PG,2,108,2018,13,410000,1
IR-E-U-0389,Banasthali Vidyapith,Banasthali,Rajasthan,PG,2,53,2019,11,390000,5
IR-E-U-0389,Banasthali Vidyapith,Banasthali,Rajasthan,PG,2,60,2020,12,430000,7
IR-E-U-0474,Sathyabama Institute of Science and Technology,Chennai,Tamil Nadu,UG,4,2197,2021,1352,360000,349
IR-E-U-0474,Sathyabama Institute of Science and Technology,Chennai,Tamil Nadu,UG,4,1452,2022,1186,425000,255
IR-E-U-0474,Sathyabama Institute of Science and Technology,Chennai,Tamil Nadu,UG,4,2243,2023,1356,482102,210
IR-E-U-0474,Sathyabama Institute of Science and Technology,Chennai,Tamil Nadu,PG,2,72,2021,66,470000,5
IR-E-U-0474,Sathyabama Institute of Science and Technology,Chennai,Tamil Nadu,PG,2,139,2022,89,490000,31
IR-E-U-0474,Sathyabama Institute of Science and Technology,Chennai,Tamil Nadu,UG,4,2269,2018,690,380000,384
IR-E-U-0474,Sathyabama Institute of Science and Technology,Chennai,Tamil Nadu,UG,4,2451,2019,713,330000,308
IR-E-U-0474,Sathyabama Institute of Science and Technology,Chennai,Tamil Nadu,UG,4,2907,2020,723,380000,322
IR-E-U-0474,Sathyabama Institute of Science and Technology,Chennai,Tamil Nadu,PG,2,75,2018,56,515000,8
IR-E-U-0474,Sathyabama Institute of Science and Technology,Chennai,Tamil Nadu,PG,2,64,2019,57,400000,5
IR-E-U-0474,Sathyabama Institute of Science and Technology,Chennai,Tamil Nadu,PG,2,50,2020,45,450000,4
IR-E-U-0473,S R M Institute of Science and Technology,Chennai,Tamil Nadu,UG,4,4317,2021,4026,400000,138
IR-E-U-0473,S R M Institute of Science and Technology,Chennai,Tamil Nadu,UG,4,4260,2022,3960,449000,121
IR-E-U-0473,S R M Institute of Science and Technology,Chennai,Tamil Nadu,UG,4,4195,2023,4031,610000,78
IR-E-U-0473,S R M Institute of Science and Technology,Chennai,Tamil Nadu,PG,2,318,2021,237,525000,12
IR-E-U-0473,S R M Institute of Science and Technology,Chennai,Tamil Nadu,PG,2,359,2022,329,550000,29
IR-E-U-0473,S R M Institute of Science and Technology,Chennai,Tamil Nadu,PG-Integrated,5,0,2021,0,0,0
IR-E-U-0473,S R M Institute of Science and Technology,Chennai,Tamil Nadu,PG-Integrated,5,0,2022,0,0,0
IR-E-U-0473,S R M Institute of Science and Technology,Chennai,Tamil Nadu,PG-Integrated,5,0,2023,0,0,0
IR-E-U-0473,S R M Institute of Science and Technology,Chennai,Tamil Nadu,UG,4,4351,2018,2874,360000,1387
IR-E-U-0473,S R M Institute of Science and Technology,Chennai,Tamil Nadu,UG,4,4708,2019,4167,350000,464
IR-E-U-0473,S R M Institute of Science and Technology,Chennai,Tamil Nadu,UG,4,5020,2020,4280,360000,391
IR-E-U-0473,S R M Institute of Science and Technology,Chennai,Tamil Nadu,PG,2,416,2018,55,400000,13
IR-E-U-0473,S R M Institute of Science and Technology,Chennai,Tamil Nadu,PG,2,298,2019,45,350000,10
IR-E-U-0473,S R M Institute of Science and Technology,Chennai,Tamil Nadu,PG,2,330,2020,18,360000,7
IR-E-U-0622,National Institute of Technology Delhi,Delhi,Delhi,UG,4,164,2021,96,800000,32
IR-E-U-0622,National Institute of Technology Delhi,Delhi,Delhi,UG,4,163,2022,142,1475000,15
IR-E-U-0622,National Institute of Technology Delhi,Delhi,Delhi,UG,4,164,2023,143,1550000,17
IR-E-U-0622,National Institute of Technology Delhi,Delhi,Delhi,PG,2,54,2021,16,1198000,13
IR-E-U-0622,National Institute of Technology Delhi,Delhi,Delhi,PG,2,56,2022,33,1500000,5
IR-E-U-0357,National Institute of Technology Rourkela,Rourkela,Odisha,UG,4,638,2021,509,712500,38
IR-E-U-0357,National Institute of Technology Rourkela,Rourkela,Odisha,UG,4,712,2022,640,1000000,15
IR-E-U-0357,National Institute of Technology Rourkela,Rourkela,Odisha,UG,4,910,2023,795,1250000,40
IR-E-U-0357,National Institute of Technology Rourkela,Rourkela,Odisha,PG-Integrated,5,112,2021,75,800000,6
IR-E-U-0357,National Institute of Technology Rourkela,Rourkela,Odisha,PG-Integrated,5,36,2022,29,697000,1
IR-E-U-0357,National Institute of Technology Rourkela,Rourkela,Odisha,PG-Integrated,5,34,2023,29,750000,1
IR-E-U-0357,National Institute of Technology Rourkela,Rourkela,Odisha,UG,4,538,2018,490,598000,39
IR-E-U-0357,National Institute of Technology Rourkela,Rourkela,Odisha,UG,4,511,2019,452,650000,48
IR-E-U-0357,National Institute of Technology Rourkela,Rourkela,Odisha,UG,4,544,2020,430,711000,80
IR-E-U-0357,National Institute of Technology Rourkela,Rourkela,Odisha,PG,2,552,2018,263,500000,65
IR-E-U-0357,National Institute of Technology Rourkela,Rourkela,Odisha,PG,2,465,2019,354,500000,72
IR-E-U-0357,National Institute of Technology Rourkela,Rourkela,Odisha,PG,2,595,2020,227,600000,138
IR-E-U-0357,National Institute of Technology Rourkela,Rourkela,Odisha,PG-Integrated,5,188,2018,133,565000,52
IR-E-U-0357,National Institute of Technology Rourkela,Rourkela,Odisha,PG-Integrated,5,173,2019,134,600000,38
IR-E-U-0357,National Institute of Technology Rourkela,Rourkela,Odisha,PG-Integrated,5,190,2020,99,750000,35
IR-E-U-0619,National Institute of Technology Meghalaya,Shillong,Meghalaya,UG,4,124,2021,108,650000,10
IR-E-U-0619,National Institute of Technology Meghalaya,Shillong,Meghalaya,UG,4,147,2022,91,945000,5
IR-E-U-0619,National Institute of Technology Meghalaya,Shillong,Meghalaya,UG,4,146,2023,118,1000000,11
