Year Placed,Total Graduating students,Students placed,Median salary per annum(Rs.),Higher Studies Student,College,CollegeID,Program,Duration(Years)
2021,390,214,750000,7,Manipal Institute of Technology,IR-E-C-7252,PG,2
2022,461,309,746460,5,Manipal Institute of Technology,IR-E-C-7252,PG,2
2021,2265,1671,445000,489,Amrita Vishwa Vidyapeetham,IR-E-U-0436,UG,4
2022,2058,1621,450000,252,Amrita Vishwa Vidyapeetham,IR-E-U-0436,UG,4
2023,2267,1834,724000,433,Amrita Vishwa Vidyapeetham,IR-E-U-0436,UG,4
2021,361,162,575000,154,Amrita Vishwa Vidyapeetham,IR-E-U-0436,PG,2
2022,681,489,640500,172,Amrita Vishwa Vidyapeetham,IR-E-U-0436,PG,2
2021,120,111,2953000,8,International Institute of Information Technology Hyderabad,IR-E-U-0014,UG,4
2022,155,141,3036000,11,International Institute of Information Technology Hyderabad,IR-E-U-0014,UG,4
2023,154,140,3030000,14,International Institute of Information Technology Hyderabad,IR-E-U-0014,UG,4
2021,83,78,2400000,5,International Institute of Information Technology Hyderabad,IR-E-U-0014,UG,5
2022,100,94,2798000,2,International Institute of Information Technology Hyderabad,IR-E-U-0014,UG,5
2023,36,33,2700000,3,International Institute of Information Technology Hyderabad,IR-E-U-0014,UG,5
2021,143,138,1870000,5,International Institute of Information Technology Hyderabad,IR-E-U-0014,PG,2
2022,136,122,2195000,10,International Institute of Information Technology Hyderabad,IR-E-U-0014,PG,2
2023,137,133,2200000,4,International Institute of Information Technology Hyderabad,IR-E-U-0014,PG,2
2021,467,36,400000,103,Christ University,IR-E-U-0217,UG,4
2022,444,38,500000,96,Christ University,IR-E-U-0217,UG,4
2023,373,280,516000,69,Christ University,IR-E-U-0217,UG,4
2021,16,11,520000,2,Christ University,IR-E-U-0217,PG,2
2022,36,21,516000,3,Christ University,IR-E-U-0217,PG,2
2023,38,23,540000,2,Christ University,IR-E-U-0217,PG,2
2021,796,448,760000,110,National Institute of Technology Raipur,IR-E-U-0092,UG,4
2022,816,627,900000,80,National Institute of Technology Raipur,IR-E-U-0092,UG,4
2023,969,734,950000,50,National Institute of Technology Raipur,IR-E-U-0092,UG,4
2021,114,24,60000,20,National Institute of Technology Raipur,IR-E-U-0092,PG,2
2022,126,37,650000,10,National Institute of Technology Raipur,IR-E-U-0092,PG,2
2021,14,3,575000,4,National Institute of Technology Raipur,IR-E-U-0092,PG,3
2022,17,0,0,0,National Institute of Technology Raipur,IR-E-U-0092,PG,3
2023,15,0,0,0,National Institute of Technology Raipur,IR-E-U-0092,PG,3
2021,1859,911,360000,130,Vel Tech Rangarajan Dr Sagunthala R D Institute of Science and Technology,IR-E-U-0489,UG,4
2022,1873,1010,383000,181,Vel Tech Rangarajan Dr Sagunthala R D Institute of Science and Technology,IR-E-U-0489,UG,4
2023,2273,1328,400000,377,Vel Tech Rangarajan Dr Sagunthala R D Institute of Science and Technology,IR-E-U-0489,UG,4
2021,102,90,500000,3,Vel Tech Rangarajan Dr Sagunthala R D Institute of Science and Technology,IR-E-U-0489,PG,2
2022,96,91,500000,1,Vel Tech Rangarajan Dr Sagunthala R D Institute of Science and Technology,IR-E-U-0489,PG,2
2021,1209,631,500000,146,Manipal University Jaipur,IR-E-U-0749,UG,4
2022,1145,709,650000,121,Manipal University Jaipur,IR-E-U-0749,UG,4
2023,1256,678,600000,157,Manipal University Jaipur,IR-E-U-0749,UG,4
2021,8,2,600000,0,Manipal University Jaipur,IR-E-U-0749,PG,2
2022,10,6,600000,1,Manipal University Jaipur,IR-E-U-0749,PG,2
2023,11,11,700000,0,Manipal University Jaipur,IR-E-U-0749,PG,2
2021,920,431,594000,122,Chitkara University,IR-E-U-0373,UG,4
2022,1078,859,760000,65,Chitkara University,IR-E-U-0373,UG,4
2023,1450,569,600000,145,Chitkara University,IR-E-U-0373,UG,4
2021,0,0,0,0,Chitkara University,IR-E-U-0373,PG,2
2022,0,0,0,0,Chitkara University,IR-E-U-0373,PG,2
2021,23,23,500000,0,Chitkara University,IR-E-U-0373,PG,3
2022,8,8,600000,0,Chitkara University,IR-E-U-0373,PG,3
2023,6,6,750000,0,Chitkara University,IR-E-U-0373,PG,3
2021,358,234,600000,97,Jamia Millia Islamia,IR-E-U-0108,UG,4
2022,359,270,750000,82,Jamia Millia Islamia,IR-E-U-0108,UG,4
2023,353,292,1100000,61,Jamia Millia Islamia,IR-E-U-0108,UG,4
2021,158,98,660000,49,Jamia Millia Islamia,IR-E-U-0108,PG,2
2022,161,120,1000000,32,Jamia Millia Islamia,IR-E-U-0108,PG,2
2023,157,126,1300000,31,Jamia Millia Islamia,IR-E-U-0108,PG,2
2021,672,541,1760000,101,Indian Institute of Technology Delhi,IR-E-I-1074,UG,4
2022,685,621,2050000,64,Indian Institute of Technology Delhi,IR-E-I-1074,UG,4
2023,835,676,2000000,50,Indian Institute of Technology Delhi,IR-E-I-1074,UG,4
2021,94,77,2200000,6,Indian Institute of Technology Delhi,IR-E-I-1074,UG,5
2022,80,80,2000000,0,Indian Institute of Technology Delhi,IR-E-I-1074,UG,5
2021,867,379,1500000,240,Indian Institute of Technology Delhi,IR-E-I-1074,PG,2
2022,813,322,1250000,159,Indian Institute of Technology Delhi,IR-E-I-1074,PG,2
2023,827,308,1400000,112,Indian Institute of Technology Delhi,IR-E-I-1074,PG,2
2021,143,112,1800000,27,Indian Institute of Technology Mandi,IR-E-U-0184,UG,4
2022,187,157,2100000,25,Indian Institute of Technology Mandi,IR-E-U-0184,UG,4
2023,232,207,2200000,24,Indian Institute of Technology Mandi,IR-E-U-0184,UG,4
2021,0,0,0,0,Indian Institute of Technology Mandi,IR-E-U-0184,UG,5
2022,0,0,0,0,Indian Institute of Technology Mandi,IR-E-U-0184,UG,5
2021,235,109,650000,121,Indian Institute of Technology Mandi,IR-E-U-0184,PG,2
2022,168,87,720000,74,Indian Institute of Technology Mandi,IR-E-U-0184,PG,2
2023,247,145,800000,91,Indian Institute of Technology Mandi,IR-E-U-0184,PG,2
2021,1089,961,470000,84,C V Raman Global University Odisha,IR-E-C-30045,UG,4
2022,1037,968,500000,69,C V Raman Global University Odisha,IR-E-C-30045,UG,4
2023,929,857,520000,72,C V Raman Global University Odisha,IR-E-C-30045,UG,4
2021,193,169,345000,17,C V Raman Global University Odisha,IR-E-C-30045,PG,2
2022,113,102,360000,11,C V Raman Global University Odisha,IR-E-C-30045,PG,2
2021,105,65,900000,18,Indian Institute of Technology Tirupati,IR-E-U-0844,UG,4
2022,167,142,1210000,16,Indian Institute of Technology Tirupati,IR-E-U-0844,UG,4
2023,189,120,1600000,51,Indian Institute of Technology Tirupati,IR-E-U-0844,UG,4
2021,51,31,875000,6,Indian Institute of Technology Tirupati,IR-E-U-0844,PG,2
2022,43,38,805000,5,Indian Institute of Technology Tirupati,IR-E-U-0844,PG,2
2023,61,41,1450000,11,Indian Institute of Technology Tirupati,IR-E-U-0844,PG,2
2021,0,0,0,0,Indian Institute of Technology Tirupati,IR-E-U-0844,PG-Integrated,5
2022,0,0,0,0,Indian Institute of Technology Tirupati,IR-E-U-0844,PG-Integrated,5
2023,0,0,0,0,Indian Institute of Technology Tirupati,IR-E-U-0844,PG-Integrated,5
2021,2041,1807,1100000,234,Delhi Technological University,IR-E-U-0098,UG,4
2022,2131,1880,1300000,251,Delhi Technological University,IR-E-U-0098,UG,4
2023,2220,1965,1410000,255,Delhi Technological University,IR-E-U-0098,UG,4
2021,274,209,1000000,65,Delhi Technological University,IR-E-U-0098,PG,2
2022,305,257,1025500,48,Delhi Technological University,IR-E-U-0098,PG,2
2023,300,246,1300000,54,Delhi Technological University,IR-E-U-0098,PG,2
2021,768,422,900000,80,National Institute of Technology Kurukshetra,IR-E-U-0172,UG,4
2022,789,632,1100000,102,National Institute of Technology Kurukshetra,IR-E-U-0172,UG,4
2023,959,662,1107000,125,National Institute of Technology Kurukshetra,IR-E-U-0172,UG,4
2021,330,34,750000,120,National Institute of Technology Kurukshetra,IR-E-U-0172,PG,2
2022,358,165,900000,115,National Institute of Technology Kurukshetra,IR-E-U-0172,PG,2
2023,388,197,900000,103,National Institute of Technology Kurukshetra,IR-E-U-0172,PG,2
2021,1626,1174,800000,190,Thapar Institute of Engineering and Technology Deemed to be university ,IR-E-I-1480,UG,4
2022,1692,1422,1000000,177,Thapar Institute of Engineering and Technology Deemed to be university ,IR-E-I-1480,UG,4
2023,2259,1962,1189000,193,Thapar Institute of Engineering and Technology Deemed to be university ,IR-E-I-1480,UG,4
2021,176,48,740000,76,Thapar Institute of Engineering and Technology Deemed to be university ,IR-E-I-1480,PG,2
2022,272,161,810000,82,Thapar Institute of Engineering and Technology Deemed to be university ,IR-E-I-1480,PG,2
2023,202,136,1000000,46,Thapar Institute of Engineering and Technology Deemed to be university ,IR-E-I-1480,PG,2
2021,111,54,800000,57,Rajiv Gandhi Institute of Petroleum Technology,IR-E-U-0535,UG,4
2022,108,79,700000,29,Rajiv Gandhi Institute of Petroleum Technology,IR-E-U-0535,UG,4
2023,121,83,950000,38,Rajiv Gandhi Institute of Petroleum Technology,IR-E-U-0535,UG,4
2021,8,1,500000,7,Rajiv Gandhi Institute of Petroleum Technology,IR-E-U-0535,PG,2
2022,55,30,510000,25,Rajiv Gandhi Institute of Petroleum Technology,IR-E-U-0535,PG,2
2023,44,27,550000,17,Rajiv Gandhi Institute of Petroleum Technology,IR-E-U-0535,PG,2
2021,115,75,900000,14,Indian Institute of Technology Palakkad,IR-E-U-0878,UG,4
2022,142,107,1200000,12,Indian Institute of Technology Palakkad,IR-E-U-0878,UG,4
2023,154,130,1410000,13,Indian Institute of Technology Palakkad,IR-E-U-0878,UG,4
2021,32,15,650000,7,Indian Institute of Technology Palakkad,IR-E-U-0878,PG,2
2022,71,52,950000,2,Indian Institute of Technology Palakkad,IR-E-U-0878,PG,2
2023,70,51,950000,7,Indian Institute of Technology Palakkad,IR-E-U-0878,PG,2
2021,1184,981,975000,203,Jadavpur University,IR-E-U-0575,UG,4
2022,992,843,1000000,149,Jadavpur University,IR-E-U-0575,UG,4
2023,1078,948,1000000,130,Jadavpur University,IR-E-U-0575,UG,4
2021,459,362,902000,97,Jadavpur University,IR-E-U-0575,PG,2
2022,365,258,910000,107,Jadavpur University,IR-E-U-0575,PG,2
2021,524,376,545000,47,Graphic Era University,IR-E-U-0555,UG,4
2022,778,480,630000,30,Graphic Era University,IR-E-U-0555,UG,4
2023,895,571,592822,65,Graphic Era University,IR-E-U-0555,UG,4
2021,44,26,550000,8,Graphic Era University,IR-E-U-0555,PG,2
2022,52,36,635000,10,Graphic Era University,IR-E-U-0555,PG,2
2021,1172,985,500000,187,Sri Krishna College of Engineering and Technology,IR-E-C-36995,UG,4
2022,1101,993,550000,108,Sri Krishna College of Engineering and Technology,IR-E-C-36995,UG,4
2023,1115,998,600000,110,Sri Krishna College of Engineering and Technology,IR-E-C-36995,UG,4
2021,0,0,0,0,Sri Krishna College of Engineering and Technology,IR-E-C-36995,UG,5
2022,0,0,0,0,Sri Krishna College of Engineering and Technology,IR-E-C-36995,UG,5
2021,69,64,500000,5,Sri Krishna College of Engineering and Technology,IR-E-C-36995,PG,2
2022,55,50,550000,5,Sri Krishna College of Engineering and Technology,IR-E-C-36995,PG,2
2023,70,65,600000,4,Sri Krishna College of Engineering and Technology,IR-E-C-36995,PG,2
2021,106,79,1063656,8,Indian Institute of Space Science and Technology,IR-E-U-0255,UG,4
2022,107,86,1063656,11,Indian Institute of Space Science and Technology,IR-E-U-0255,UG,4
2023,125,101,1104048,24,Indian Institute of Space Science and Technology,IR-E-U-0255,UG,4
2021,89,21,890000,21,Indian Institute of Space Science and Technology,IR-E-U-0255,PG,2
2022,103,59,1000000,18,Indian Institute of Space Science and Technology,IR-E-U-0255,PG,2
2023,89,79,1000000,10,Indian Institute of Space Science and Technology,IR-E-U-0255,PG,2
2021,162,162,1925000,0,International Institute of Information Technology Bangalore,IR-E-U-0221,PG,2
2022,177,177,2494000,0,International Institute of Information Technology Bangalore,IR-E-U-0221,PG,2
2023,173,170,2100000,0,International Institute of Information Technology Bangalore,IR-E-U-0221,PG,2
2021,97,91,2010000,6,International Institute of Information Technology Bangalore,IR-E-U-0221,PG-Integrated,5
2022,61,55,2300000,4,International Institute of Information Technology Bangalore,IR-E-U-0221,PG-Integrated,5
2021,773,437,1915000,299,Indian Institute of Technology Kanpur,IR-E-I-1075,UG,4
2022,790,621,2207000,165,Indian Institute of Technology Kanpur,IR-E-I-1075,UG,4
2023,985,688,2300000,239,Indian Institute of Technology Kanpur,IR-E-I-1075,UG,4
2021,736,356,1769000,294,Indian Institute of Technology Kanpur,IR-E-I-1075,PG,2
2022,772,583,1529000,158,Indian Institute of Technology Kanpur,IR-E-I-1075,PG,2
2021,338,292,1500000,17,Indian Institute of Technology Madras,IR-E-U-0456,UG,4
2022,388,297,1700000,78,Indian Institute of Technology Madras,IR-E-U-0456,UG,4
2023,639,496,1663440,96,Indian Institute of Technology Madras,IR-E-U-0456,UG,4
2021,355,305,1300000,17,Indian Institute of Technology Madras,IR-E-U-0456,PG,2
2022,313,285,1300000,21,Indian Institute of Technology Madras,IR-E-U-0456,PG,2
2023,429,390,1500000,12,Indian Institute of Technology Madras,IR-E-U-0456,PG,2
2021,142,101,1194000,32,Indian Institute of Technology Madras,IR-E-U-0456,PG,3
2022,136,112,1500000,24,Indian Institute of Technology Madras,IR-E-U-0456,PG,3
2023,191,147,1500000,37,Indian Institute of Technology Madras,IR-E-U-0456,PG,3
2021,744,723,600000,19,Siddaganga Institute of Technology,IR-E-C-1297,UG,4
2022,855,831,650000,22,Siddaganga Institute of Technology,IR-E-C-1297,UG,4
2023,858,836,800000,20,Siddaganga Institute of Technology,IR-E-C-1297,UG,4
2021,81,69,600000,2,Siddaganga Institute of Technology,IR-E-C-1297,PG,2
2022,145,143,630000,2,Siddaganga Institute of Technology,IR-E-C-1297,PG,2
2023,148,145,700000,2,Siddaganga Institute of Technology,IR-E-C-1297,PG,2
2021,360,330,550000,30,AU College of Engineering A ,IR-E-C-24004,UG,4
2022,372,315,650000,57,AU College of Engineering A ,IR-E-C-24004,UG,4
2023,423,397,588000,24,AU College of Engineering A ,IR-E-C-24004,UG,4
2021,510,93,650000,67,AU College of Engineering A ,IR-E-C-24004,PG,2
2022,510,315,660000,78,AU College of Engineering A ,IR-E-C-24004,PG,2
2023,510,430,680000,78,AU College of Engineering A ,IR-E-C-24004,PG,2
2021,734,527,812000,145,COEP Technological University,IR-E-C-41593,UG,4
2022,714,577,970000,135,COEP Technological University,IR-E-C-41593,UG,4
2023,756,602,975000,104,COEP Technological University,IR-E-C-41593,UG,4
2021,371,220,600000,19,COEP Technological University,IR-E-C-41593,PG,2
2022,375,329,696000,35,COEP Technological University,IR-E-C-41593,PG,2
2023,275,180,650000,38,COEP Technological University,IR-E-C-41593,PG,2
2021,498,241,350000,41,Sant Longowal Institute of Engineering and Technology,IR-E-U-0384,UG,4
2022,551,378,400000,27,Sant Longowal Institute of Engineering and Technology,IR-E-U-0384,UG,4
2023,606,400,400000,38,Sant Longowal Institute of Engineering and Technology,IR-E-U-0384,UG,4
2021,39,12,350000,7,Sant Longowal Institute of Engineering and Technology,IR-E-U-0384,PG,2
2022,39,8,415000,5,Sant Longowal Institute of Engineering and Technology,IR-E-U-0384,PG,2
2023,47,21,420000,12,Sant Longowal Institute of Engineering and Technology,IR-E-U-0384,PG,2
2021,237,189,1240000,18,Indian Institute of Technology Ropar,IR-E-U-0378,UG,4
2022,271,229,1714000,7,Indian Institute of Technology Ropar,IR-E-U-0378,UG,4
2023,293,247,2000000,25,Indian Institute of Technology Ropar,IR-E-U-0378,UG,4
2021,197,120,700000,72,Indian Institute of Technology Ropar,IR-E-U-0378,PG,2
2022,198,108,1000000,22,Indian Institute of Technology Ropar,IR-E-U-0378,PG,2
2023,172,115,1200000,34,Indian Institute of Technology Ropar,IR-E-U-0378,PG,2
2021,8,5,689000,3,Indian Institute of Technology Ropar,IR-E-U-0378,PG-Integrated,5
2022,9,7,3725000,0,Indian Institute of Technology Ropar,IR-E-U-0378,PG-Integrated,5
2023,11,10,1800000,1,Indian Institute of Technology Ropar,IR-E-U-0378,PG-Integrated,5
2021,218,103,655000,78,Institute of Chemical Technology,IR-E-U-0308,UG,4
2022,209,107,800000,70,Institute of Chemical Technology,IR-E-U-0308,UG,4
2023,240,114,800000,43,Institute of Chemical Technology,IR-E-U-0308,UG,4
2021,254,160,525000,24,Institute of Chemical Technology,IR-E-U-0308,PG,2
2022,309,263,521000,6,Institute of Chemical Technology,IR-E-U-0308,PG,2
2021,0,0,0,0,Institute of Chemical Technology,IR-E-U-0308,PG-Integrated,5
2022,0,0,0,0,Institute of Chemical Technology,IR-E-U-0308,PG-Integrated,5
2023,98,71,620000,3,Institute of Chemical Technology,IR-E-U-0308,PG-Integrated,5
2021,803,293,445000,176,Jain University Bangalore,IR-E-U-0223,UG,4
2022,912,389,633000,192,Jain University Bangalore,IR-E-U-0223,UG,4
2023,978,421,600000,194,Jain University Bangalore,IR-E-U-0223,UG,4
2021,100,64,668000,19,Jain University Bangalore,IR-E-U-0223,PG,2
2022,83,61,755000,12,Jain University Bangalore,IR-E-U-0223,PG,2
2021,1405,606,460000,87,Vignan s Foundation for Science Technology and Research,IR-E-U-0043,UG,4
2022,1640,769,400000,562,Vignan s Foundation for Science Technology and Research,IR-E-U-0043,UG,4
2023,1706,868,682000,689,Vignan s Foundation for Science Technology and Research,IR-E-U-0043,UG,4
2021,101,90,475000,5,Vignan s Foundation for Science Technology and Research,IR-E-U-0043,PG,2
2022,86,80,507000,5,Vignan s Foundation for Science Technology and Research,IR-E-U-0043,PG,2
2021,1027,884,400000,105,Siksha O Anusandhan,IR-E-U-0363,UG,4
2022,1472,1297,450000,95,Siksha O Anusandhan,IR-E-U-0363,UG,4
2023,2007,1836,575000,102,Siksha O Anusandhan,IR-E-U-0363,UG,4
2021,73,54,400000,16,Siksha O Anusandhan,IR-E-U-0363,PG,2
2022,38,31,450000,4,Siksha O Anusandhan,IR-E-U-0363,PG,2
2021,782,642,1000000,32,National Institute of Technology Karnataka Surathkal,IR-E-U-0237,UG,4
2022,837,734,1284000,32,National Institute of Technology Karnataka Surathkal,IR-E-U-0237,UG,4
2023,903,794,1500000,74,National Institute of Technology Karnataka Surathkal,IR-E-U-0237,UG,4
2021,578,436,935000,40,National Institute of Technology Karnataka Surathkal,IR-E-U-0237,PG,2
2022,649,577,942000,6,National Institute of Technology Karnataka Surathkal,IR-E-U-0237,PG,2
2023,629,580,1100000,15,National Institute of Technology Karnataka Surathkal,IR-E-U-0237,PG,2
2021,260,127,700000,74,Guru Gobind Singh Indraprastha University,IR-E-U-0099,UG,4
2022,276,165,1000000,58,Guru Gobind Singh Indraprastha University,IR-E-U-0099,UG,4
2023,210,190,815000,20,Guru Gobind Singh Indraprastha University,IR-E-U-0099,UG,4
2021,56,12,488000,13,Guru Gobind Singh Indraprastha University,IR-E-U-0099,PG,2
2022,78,34,600000,14,Guru Gobind Singh Indraprastha University,IR-E-U-0099,PG,2
2023,103,77,770000,26,Guru Gobind Singh Indraprastha University,IR-E-U-0099,PG,2
2021,687,231,400000,38,Madan Mohan Malaviya University of Technology,IR-E-U-0739,UG,4
2022,782,444,450000,30,Madan Mohan Malaviya University of Technology,IR-E-U-0739,UG,4
2023,781,606,944000,112,Madan Mohan Malaviya University of Technology,IR-E-U-0739,UG,4
2021,299,40,400000,4,Madan Mohan Malaviya University of Technology,IR-E-U-0739,PG,2
2022,368,94,425000,4,Madan Mohan Malaviya University of Technology,IR-E-U-0739,PG,2
2023,169,151,914224,18,Madan Mohan Malaviya University of Technology,IR-E-U-0739,PG,2
2021,758,620,1100000,24,Indian Institute of Technology Indian School of Mines Dhanbad,IR-E-U-0205,UG,4
2022,800,720,1500000,8,Indian Institute of Technology Indian School of Mines Dhanbad,IR-E-U-0205,UG,4
2023,770,655,1500000,5,Indian Institute of Technology Indian School of Mines Dhanbad,IR-E-U-0205,UG,4
2021,79,69,1767000,5,Indian Institute of Technology Indian School of Mines Dhanbad,IR-E-U-0205,UG,5
2022,80,77,2355000,0,Indian Institute of Technology Indian School of Mines Dhanbad,IR-E-U-0205,UG,5
2023,83,73,1280000,1,Indian Institute of Technology Indian School of Mines Dhanbad,IR-E-U-0205,UG,5
2021,275,155,700000,38,Indian Institute of Technology Indian School of Mines Dhanbad,IR-E-U-0205,PG,2
2022,306,196,925000,10,Indian Institute of Technology Indian School of Mines Dhanbad,IR-E-U-0205,PG,2
2023,304,227,1100000,17,Indian Institute of Technology Indian School of Mines Dhanbad,IR-E-U-0205,PG,2
2021,639,446,810000,39,Malaviya National Institute of Technology,IR-E-U-0410,UG,4
2022,655,549,900000,8,Malaviya National Institute of Technology,IR-E-U-0410,UG,4
2023,749,671,1150000,15,Malaviya National Institute of Technology,IR-E-U-0410,UG,4
2021,400,200,750000,63,Malaviya National Institute of Technology,IR-E-U-0410,PG,2
2022,393,263,937000,15,Malaviya National Institute of Technology,IR-E-U-0410,PG,2
2023,365,265,980000,20,Malaviya National Institute of Technology,IR-E-U-0410,PG,2
2021,786,574,800000,38,Maulana Azad National Institute of Technology,IR-E-U-0284,UG,4
2022,833,666,1100000,22,Maulana Azad National Institute of Technology,IR-E-U-0284,UG,4
2023,920,845,1383000,48,Maulana Azad National Institute of Technology,IR-E-U-0284,UG,4
2021,302,171,1120000,48,Maulana Azad National Institute of Technology,IR-E-U-0284,PG,2
2022,425,224,700000,23,Maulana Azad National Institute of Technology,IR-E-U-0284,PG,2
2023,328,245,850000,44,Maulana Azad National Institute of Technology,IR-E-U-0284,PG,2
2021,0,0,0,0,Maulana Azad National Institute of Technology,IR-E-U-0284,PG-Integrated,5
2022,0,0,0,0,Maulana Azad National Institute of Technology,IR-E-U-0284,PG-Integrated,5
2023,0,0,0,0,Maulana Azad National Institute of Technology,IR-E-U-0284,PG-Integrated,5
2021,1080,272,350000,20,Saveetha Institute of Medical and Technical Sciences,IR-E-I-1441,UG,4
2022,1154,331,359000,72,Saveetha Institute of Medical and Technical Sciences,IR-E-I-1441,UG,4
2023,1260,349,448000,148,Saveetha Institute of Medical and Technical Sciences,IR-E-I-1441,UG,4
2021,28,25,450000,1,Saveetha Institute of Medical and Technical Sciences,IR-E-I-1441,PG,2
2022,29,28,450000,1,Saveetha Institute of Medical and Technical Sciences,IR-E-I-1441,PG,2
2023,29,28,450000,1,Saveetha Institute of Medical and Technical Sciences,IR-E-I-1441,PG,2
2021,568,343,625000,124,National Institute of Technology Srinagar,IR-E-U-0197,UG,4
2022,575,468,833000,51,National Institute of Technology Srinagar,IR-E-U-0197,UG,4
2023,581,446,1100000,96,National Institute of Technology Srinagar,IR-E-U-0197,UG,4
2021,116,34,390000,28,National Institute of Technology Srinagar,IR-E-U-0197,PG,2
2022,181,55,600000,52,National Institute of Technology Srinagar,IR-E-U-0197,PG,2
2021,5294,3342,650000,1024,Vellore Institute of Technology,IR-E-U-0490,UG,4
2022,6177,4212,800000,957,Vellore Institute of Technology,IR-E-U-0490,UG,4
2023,7053,4923,900000,1051,Vellore Institute of Technology,IR-E-U-0490,UG,4
2021,1329,698,545000,48,Vellore Institute of Technology,IR-E-U-0490,PG,2
2022,1415,888,800000,40,Vellore Institute of Technology,IR-E-U-0490,PG,2
2021,632,410,450000,31,Vellore Institute of Technology,IR-E-U-0490,PG-Integrated,5
2022,683,585,700000,26,Vellore Institute of Technology,IR-E-U-0490,PG-Integrated,5
2023,502,454,700000,6,Vellore Institute of Technology,IR-E-U-0490,PG-Integrated,5
2021,648,499,842000,146,Visvesvaraya National Institute of Technology Nagpur,IR-E-U-0334,UG,4
2022,672,669,1100000,3,Visvesvaraya National Institute of Technology Nagpur,IR-E-U-0334,UG,4
2023,832,730,1192000,99,Visvesvaraya National Institute of Technology Nagpur,IR-E-U-0334,UG,4
2021,256,104,789000,97,Visvesvaraya National Institute of Technology Nagpur,IR-E-U-0334,PG,2
2022,313,281,750000,32,Visvesvaraya National Institute of Technology Nagpur,IR-E-U-0334,PG,2
2023,315,238,815000,65,Visvesvaraya National Institute of Technology Nagpur,IR-E-U-0334,PG,2
2021,630,429,680000,183,National Institute of Technology Durgapur,IR-E-U-0577,UG,4
2022,685,579,810000,101,National Institute of Technology Durgapur,IR-E-U-0577,UG,4
2023,776,640,1370000,136,National Institute of Technology Durgapur,IR-E-U-0577,UG,4
2021,0,0,0,0,National Institute of Technology Durgapur,IR-E-U-0577,UG,5
2022,8,2,690000,6,National Institute of Technology Durgapur,IR-E-U-0577,UG,5
2023,8,3,710000,5,National Institute of Technology Durgapur,IR-E-U-0577,UG,5
2021,224,48,740000,169,National Institute of Technology Durgapur,IR-E-U-0577,PG,2
2022,281,124,900000,155,National Institute of Technology Durgapur,IR-E-U-0577,PG,2
2023,241,132,935000,109,National Institute of Technology Durgapur,IR-E-U-0577,PG,2
2021,235,151,1400000,10,Indian Institute of Technology Indore,IR-E-U-0273,UG,4
2022,247,209,1850000,15,Indian Institute of Technology Indore,IR-E-U-0273,UG,4
2023,281,238,2120000,12,Indian Institute of Technology Indore,IR-E-U-0273,UG,4
2021,137,24,1000000,22,Indian Institute of Technology Indore,IR-E-U-0273,PG,2
2022,164,53,1000000,29,Indian Institute of Technology Indore,IR-E-U-0273,PG,2
2023,164,93,800000,35,Indian Institute of Technology Indore,IR-E-U-0273,PG,2
2021,811,563,1080000,163,National Institute of Technology Tiruchirappalli,IR-E-U-0467,UG,4
2022,865,645,1200000,133,National Institute of Technology Tiruchirappalli,IR-E-U-0467,UG,4
2023,1075,853,1576000,142,National Institute of Technology Tiruchirappalli,IR-E-U-0467,UG,4
2021,443,335,700000,27,National Institute of Technology Tiruchirappalli,IR-E-U-0467,PG,2
2022,572,527,950000,13,National Institute of Technology Tiruchirappalli,IR-E-U-0467,PG,2
2023,533,516,1000000,4,National Institute of Technology Tiruchirappalli,IR-E-U-0467,PG,2
2021,2891,1325,660000,620,Chandigarh University,IR-E-U-0747,UG,4
2022,2987,1542,750000,673,Chandigarh University,IR-E-U-0747,UG,4
2023,2921,2311,800000,610,Chandigarh University,IR-E-U-0747,UG,4
2021,0,0,0,0,Chandigarh University,IR-E-U-0747,UG,5
2022,0,0,0,0,Chandigarh University,IR-E-U-0747,UG,5
2021,146,97,600000,49,Chandigarh University,IR-E-U-0747,PG,2
2022,147,99,700000,48,Chandigarh University,IR-E-U-0747,PG,2
2023,223,151,720000,72,Chandigarh University,IR-E-U-0747,PG,2
2021,215,163,1790000,17,Indian Institute of Technology Patna,IR-E-U-0064,UG,4
2022,243,208,2200000,35,Indian Institute of Technology Patna,IR-E-U-0064,UG,4
2023,333,273,1700000,13,Indian Institute of Technology Patna,IR-E-U-0064,UG,4
2021,89,42,2100000,22,Indian Institute of Technology Patna,IR-E-U-0064,PG,2
2022,109,96,2050000,13,Indian Institute of Technology Patna,IR-E-U-0064,PG,2
2023,88,81,2300000,7,Indian Institute of Technology Patna,IR-E-U-0064,PG,2
2018,248,158,741000,11,Pandit Dwarka Prasad Mishra Indian Institute of Information Technology Design and Manufacturing IIITDM Jabalpur,IR-E-U-0286,UG,4
2019,291,173,750000,22,Pandit Dwarka Prasad Mishra Indian Institute of Information Technology Design and Manufacturing IIITDM Jabalpur,IR-E-U-0286,UG,4
2020,262,146,943000,78,Pandit Dwarka Prasad Mishra Indian Institute of Information Technology Design and Manufacturing IIITDM Jabalpur,IR-E-U-0286,UG,4
2018,84,29,725000,8,Pandit Dwarka Prasad Mishra Indian Institute of Information Technology Design and Manufacturing IIITDM Jabalpur,IR-E-U-0286,PG,2
2019,96,35,710000,20,Pandit Dwarka Prasad Mishra Indian Institute of Information Technology Design and Manufacturing IIITDM Jabalpur,IR-E-U-0286,PG,2
