Academic Year,No. of students graduating in minimum stipulated time,No. of students placed,Median salary of placed graduates per annum(Amount in Rs.),No. of students selected for Higher Studies,College,CollegeID,Batch
2022-23,629,567,"850000(Eight lakh fifty
thousand )",60,Indian Institute of Engineering Science and Technology Shibpur,IR-E-U-0584,UG [4 Years Program(s)]
2020-21,235,48,"736000(Seven lakh
thirty six thousand)",72,Indian Institute of Engineering Science and Technology Shibpur,IR-E-U-0584,PG [2 Years Program(s)]
2021-22,256,132,"750000(Seven lakh
fifty thousand)",98,Indian Institute of Engineering Science and Technology Shibpur,IR-E-U-0584,PG [2 Years Program(s)]
2022-23,205,136,"750000(Seven lakh
fifty thousand)",57,Indian Institute of Engineering Science and Technology Shibpur,IR-E-U-0584,PG [2 Years Program(s)]
2020-21,588,474,"750000(Seven Lakh
Fifty Thousand)",28,National Institute of Technology Silchar,IR-E-U-0055,UG [4 Years Program(s)]
2021-22,662,600,1100000(Eleven lakhs),22,National Institute of Technology Silchar,IR-E-U-0055,UG [4 Years Program(s)]
2022-23,823,694,"1395000(Thirteen
lakhs ninety five
thousand)",28,National Institute of Technology Silchar,IR-E-U-0055,UG [4 Years Program(s)]
2020-21,179,85,"650000(Six Lakh Fifty
Thousand)",81,National Institute of Technology Silchar,IR-E-U-0055,PG [2 Years Program(s)]
2021-22,249,124,600000(Six lakhs),53,National Institute of Technology Silchar,IR-E-U-0055,PG [2 Years Program(s)]
2022-23,179,109,600000(Six lakhs),30,National Institute of Technology Silchar,IR-E-U-0055,PG [2 Years Program(s)]
2020-21,326,274,"1500000(Fifteen
Lakhs)",26,Indraprastha Institute of Information Technology,IR-E-U-0105,UG [4 Years Program(s)]
2021-22,355,340,"1700000(Seventeen
Lakhs)",13,Indraprastha Institute of Information Technology,IR-E-U-0105,UG [4 Years Program(s)]
2022-23,425,390,"1850000(Eighteen
Lakh Fifty Thousand)",33,Indraprastha Institute of Information Technology,IR-E-U-0105,UG [4 Years Program(s)]
2020-21,193,187,"1400000(Fourteen
Lakhs)",2,Indraprastha Institute of Information Technology,IR-E-U-0105,PG [2 Years Program(s)]
2021-22,213,208,"1541000(Fifteen Lakh
Forty One Thousand)",2,Indraprastha Institute of Information Technology,IR-E-U-0105,PG [2 Years Program(s)]
2020-21,702,379,"650000(Six Lakh Fifty
Thousand)",58,Dr B R Ambedkar National Institute of Technology Jalandhar,IR-E-U-0374,UG [4 Years Program(s)]
2021-22,662,556,"891000(Eight Lakh
Ninety One Thousand )",83,Dr B R Ambedkar National Institute of Technology Jalandhar,IR-E-U-0374,UG [4 Years Program(s)]
2022-23,750,666,900000(Nine Lakh),43,Dr B R Ambedkar National Institute of Technology Jalandhar,IR-E-U-0374,UG [4 Years Program(s)]
2020-21,311,60,"650000(Five lakh Fifty
Thousand)",74,Dr B R Ambedkar National Institute of Technology Jalandhar,IR-E-U-0374,PG [2 Years Program(s)]
2021-22,335,131,"720000(Seven Lakh
Twenty Thousand)",93,Dr B R Ambedkar National Institute of Technology Jalandhar,IR-E-U-0374,PG [2 Years Program(s)]
2022-23,262,127,"720000(Seven Lakh
Twenty Thousand)",68,Dr B R Ambedkar National Institute of Technology Jalandhar,IR-E-U-0374,PG [2 Years Program(s)]
2020-21,1780,1200,"360000(Three Lakh
Sixty Thousand)",200,Amity University,IR-E-U-0497,UG [4 Years Program(s)]
2021-22,1486,1227,"450000(Four Lakh Fifty
Thousand)",97,Amity University,IR-E-U-0497,UG [4 Years Program(s)]
2022-23,1401,1198,"630000(Six Lakh Thirty
Thousand)",186,Amity University,IR-E-U-0497,UG [4 Years Program(s)]
2020-21,122,95,"343000(Three Lakh
Forty Three Thousand)",16,Amity University,IR-E-U-0497,PG [2 Years Program(s)]
2021-22,118,101,500000(Five Lakhs),2,Amity University,IR-E-U-0497,PG [2 Years Program(s)]
2020-21,93,70,"380000(Three Lakh
Eighty Thousand)",10,Amity University,IR-E-U-0497,PG-Integrated [5 Years Program(s)]
2021-22,81,56,500000(Five Lakhs),5,Amity University,IR-E-U-0497,PG-Integrated [5 Years Program(s)]
2022-23,82,61,"463000(Four Lakh
Sixty Three Thousand)",19,Amity University,IR-E-U-0497,PG-Integrated [5 Years Program(s)]
2020-21,850,745,"970000(Nine lakh
seven thousand only)",92,National Institute of Technology Calicut,IR-E-U-0263,UG [4 Years Program(s)]
2021-22,861,759,"1080000(ten lakh
eighty thousand only)",84,National Institute of Technology Calicut,IR-E-U-0263,UG [4 Years Program(s)]
2022-23,894,811,"1170000(Eleven lakh
seventy thousand)",75,National Institute of Technology Calicut,IR-E-U-0263,UG [4 Years Program(s)]
2020-21,400,345,"935000(nine lakh thirty
five thousand only)",52,National Institute of Technology Calicut,IR-E-U-0263,PG [2 Years Program(s)]
2021-22,421,364,"980000(Nine lakh
eighty thousand only)",45,National Institute of Technology Calicut,IR-E-U-0263,PG [2 Years Program(s)]
2022-23,428,390,"1120000(Eleven lakh
twenty thousand only)",30,National Institute of Technology Calicut,IR-E-U-0263,PG [2 Years Program(s)]
2020-21,708,479,"690000(Six lakhs
ninety thousands
onlyZero)",136,Sardar Vallabhbhai National Institute of Technology,IR-E-U-0149,UG [4 Years Program(s)]
2021-22,733,568,"801000(Eight lakhs
one thousand only)",129,Sardar Vallabhbhai National Institute of Technology,IR-E-U-0149,UG [4 Years Program(s)]
2022-23,788,656,"950000(Nine lakhs fifty
thousand)",81,Sardar Vallabhbhai National Institute of Technology,IR-E-U-0149,UG [4 Years Program(s)]
2020-21,299,80,"690000(Six lakhs
ninety thousands only)",56,Sardar Vallabhbhai National Institute of Technology,IR-E-U-0149,PG [2 Years Program(s)]
2021-22,376,252,"650000(Six lakhs fifty
thousands only)",58,Sardar Vallabhbhai National Institute of Technology,IR-E-U-0149,PG [2 Years Program(s)]
