Academic Year,No. of students graduating in minimum stipulated time,No. of students placed,Median salary of placed graduates per annum(Amount in Rs.),No. of students selected for Higher Studies,College,CollegeID,Batch
2022-23,1217,902,700000(Seven lakhs),82,PSG College of Technology,IR-E-C-37013,UG [4 Years Program(s)]
2020-21,188,94,"460000(Four lakhs
sixty thousand only)",11,PSG College of Technology,IR-E-C-37013,UG [5 Years Program(s)]
2021-22,191,139,"500000(Five lakhs
only)",15,PSG College of Technology,IR-E-C-37013,UG [5 Years Program(s)]
2022-23,174,123,600000(Six lakhs ),0,PSG College of Technology,IR-E-C-37013,UG [5 Years Program(s)]
2020-21,293,128,"500000(Five lakhs
only)",4,PSG College of Technology,IR-E-C-37013,PG [2 Years Program(s)]
2021-22,175,99,"630000(Six lakhs thirty
thousand only)",0,PSG College of Technology,IR-E-C-37013,PG [2 Years Program(s)]
2022-23,120,57,700000(Seven lakhs ),0,PSG College of Technology,IR-E-C-37013,PG [2 Years Program(s)]
2020-21,221,190,2000000(Twenty Lakh),2,Indian Institute of Information Technology Allahabad,IR-E-U-0516,UG [4 Years Program(s)]
2021-22,275,261,"2800000(Twenty Eighy
Lakh)",14,Indian Institute of Information Technology Allahabad,IR-E-U-0516,UG [4 Years Program(s)]
2022-23,384,372,3000000(Thirty Lakh),9,Indian Institute of Information Technology Allahabad,IR-E-U-0516,UG [4 Years Program(s)]
2020-21,125,93,"1150000(Eleven Lakh
Fifty Thousand)",13,Indian Institute of Information Technology Allahabad,IR-E-U-0516,PG [2 Years Program(s)]
2021-22,141,137,"1675000(Sixteen Lakh
Seventy Five
Thousand)",4,Indian Institute of Information Technology Allahabad,IR-E-U-0516,PG [2 Years Program(s)]
2022-23,176,133,1500000(Fifteen Lakh),6,Indian Institute of Information Technology Allahabad,IR-E-U-0516,PG [2 Years Program(s)]
2020-21,445,359,"680000(Six lakh eighty
thousand)",74,National Institute of Technology Patna,IR-E-U-0072,UG [4 Years Program(s)]
2021-22,550,512,1000000(Ten lakh),32,National Institute of Technology Patna,IR-E-U-0072,UG [4 Years Program(s)]
2022-23,626,601,"988000(Nine lakh
eighty eight thousand)",17,National Institute of Technology Patna,IR-E-U-0072,UG [4 Years Program(s)]
2020-21,200,14,"675000(Six lakh
seventy five thousand)",67,National Institute of Technology Patna,IR-E-U-0072,PG [2 Years Program(s)]
2021-22,256,125,600000(Six lakh),79,National Institute of Technology Patna,IR-E-U-0072,PG [2 Years Program(s)]
2022-23,199,87,"780000(Seven lakh
eighty thousand)",83,National Institute of Technology Patna,IR-E-U-0072,PG [2 Years Program(s)]
2020-21,273,185,"1625000(sixteen lakh
twenty five thousand
only)",12,Indian Institute of Technology Hyderabad,IR-E-U-0013,UG [4 Years Program(s)]
2021-22,268,237,2000000(twenty year),21,Indian Institute of Technology Hyderabad,IR-E-U-0013,UG [4 Years Program(s)]
2022-23,293,269,"2100000(Twenty one
lakhs)",17,Indian Institute of Technology Hyderabad,IR-E-U-0013,UG [4 Years Program(s)]
2020-21,151,74,"1945000(Nineteen
lakhs forty five
thousand)",7,Indian Institute of Technology Hyderabad,IR-E-U-0013,PG [2 Years Program(s)]
2021-22,244,199,"1650000(Sixteen
Lakhs and Fifty
thousand)",19,Indian Institute of Technology Hyderabad,IR-E-U-0013,PG [2 Years Program(s)]
2022-23,335,297,"1500000(Fifteen
Lakhs)",29,Indian Institute of Technology Hyderabad,IR-E-U-0013,PG [2 Years Program(s)]
2020-21,31,26,"2526000(Twenty five
lakhs and twenty six
thousand)",0,Indian Institute of Technology Hyderabad,IR-E-U-0013,PG [3 Years Program(s)]
2021-22,44,40,"2100000(Twenty one
Lakhs)",4,Indian Institute of Technology Hyderabad,IR-E-U-0013,PG [3 Years Program(s)]
2022-23,32,26,"2180000(Twenty one
lakhs and eighty eight
thousand)",2,Indian Institute of Technology Hyderabad,IR-E-U-0013,PG [3 Years Program(s)]
2020-21,242,198,"1350000(Rupees
Thirteen Lakh Fifty
Thousand)",17,Indian Institute of Technology Bhubaneswar,IR-E-U-0355,UG [4 Years Program(s)]
2021-22,254,236,"1500000(Rupees
Fifteen Lakh)",15,Indian Institute of Technology Bhubaneswar,IR-E-U-0355,UG [4 Years Program(s)]
2022-23,299,247,"1598000(Rupees
Fifteen Lakh Ninety
Eight Thousand)",10,Indian Institute of Technology Bhubaneswar,IR-E-U-0355,UG [4 Years Program(s)]
2020-21,152,74,"882000(Rupees Eight
Lakh Eighty Two
Thousand)",20,Indian Institute of Technology Bhubaneswar,IR-E-U-0355,PG [2 Years Program(s)]
2021-22,168,142,"1250000(Rupees
Twelve Lakh Fifty
Thousand)",7,Indian Institute of Technology Bhubaneswar,IR-E-U-0355,PG [2 Years Program(s)]
2022-23,122,106,"1200000(Rupees
Twelve Lakh)",8,Indian Institute of Technology Bhubaneswar,IR-E-U-0355,PG [2 Years Program(s)]
2020-21,2554,2250,"1300000(Thirteen
Lakhs)",118,Birla Institute of Technology and Science Pilani,IR-E-U-0391,UG [4 Years Program(s)]
2021-22,2762,2470,"1820000(Eighteen
Lakhs Twenty
Thousand)",89,Birla Institute of Technology and Science Pilani,IR-E-U-0391,UG [4 Years Program(s)]
2022-23,2804,2443,"1900000(Ninteen
Lakh)",303,Birla Institute of Technology and Science Pilani,IR-E-U-0391,UG [4 Years Program(s)]
2020-21,659,564,"1200000(Twelve
Lakhs)",22,Birla Institute of Technology and Science Pilani,IR-E-U-0391,PG [2 Years Program(s)]
2021-22,699,613,"1480000(Fourteen
Lakhs Eighty
Thousand)",4,Birla Institute of Technology and Science Pilani,IR-E-U-0391,PG [2 Years Program(s)]
2020-21,631,393,"810000(Eight Lakhs
Ten Thousand)",15,Birla Institute of Technology,IR-E-U-0202,UG [4 Years Program(s)]
2021-22,669,597,"990000(Nine Lakhs
Ninety Thousand)",44,Birla Institute of Technology,IR-E-U-0202,UG [4 Years Program(s)]
2022-23,720,519,"1057982(Ten Lakh
Fifty Seven Thousand
Nine Hundred Eighty
Two Only)",39,Birla Institute of Technology,IR-E-U-0202,UG [4 Years Program(s)]
2020-21,114,14,"401986(Four Lakhs
One Thousand Nine
Hundred Eighty Six)",5,Birla Institute of Technology,IR-E-U-0202,PG [2 Years Program(s)]
2021-22,217,86,"590000(Five Lakhs
Ninety Thousand)",17,Birla Institute of Technology,IR-E-U-0202,PG [2 Years Program(s)]
2020-21,663,500,"1392000(Thirteen
Lakhs Ninty Two
Thousand Only)",163,Indian Institute of Technology Bombay,IR-E-U-0306,UG [4 Years Program(s)]
2021-22,674,591,"1880000(Eighteen
Lakhs Eighty
Thousand Only)",83,Indian Institute of Technology Bombay,IR-E-U-0306,UG [4 Years Program(s)]
2022-23,798,644,"1963000(Nineteen
Lakhs Sixty Three
Thousand Only)",154,Indian Institute of Technology Bombay,IR-E-U-0306,UG [4 Years Program(s)]
2020-21,853,407,"1300000(Thirteen
Lakhs)",446,Indian Institute of Technology Bombay,IR-E-U-0306,PG [2 Years Program(s)]
2021-22,853,623,"1476188(Fourteen
Lakhs Seventy Six
Thousand One
Hundred Eighty Eight)",230,Indian Institute of Technology Bombay,IR-E-U-0306,PG [2 Years Program(s)]
2022-23,870,641,"1500000(Fifteen Lakh
Only)",223,Indian Institute of Technology Bombay,IR-E-U-0306,PG [2 Years Program(s)]
2020-21,5165,2401,"450000(Four Lakh Fifty
Thousand)",242,Lovely Professional University,IR-E-U-0379,UG [4 Years Program(s)]
2021-22,3543,2435,"707000(Seven Lakh
Seven Thousand)",392,Lovely Professional University,IR-E-U-0379,UG [4 Years Program(s)]
2022-23,4099,3508,"650000(Six Lakh Fifty
Thousand)",205,Lovely Professional University,IR-E-U-0379,UG [4 Years Program(s)]
2020-21,105,67,"615000(Six Lakh
Fifteen Thousand)",8,Lovely Professional University,IR-E-U-0379,PG [2 Years Program(s)]
2021-22,124,89,"810000(Eight Lakh
Ten Thousand)",3,Lovely Professional University,IR-E-U-0379,PG [2 Years Program(s)]
2022-23,135,108,"840000(Eight Lakh
Forty Thousand)",6,Lovely Professional University,IR-E-U-0379,PG [2 Years Program(s)]
2020-21,52,44,600000(Six LAkh),1,Lovely Professional University,IR-E-U-0379,PG-Integrated [5 Years Program(s)]
2021-22,53,49,"810000(Eight Lakh
Ten Thousand)",1,Lovely Professional University,IR-E-U-0379,PG-Integrated [5 Years Program(s)]
2022-23,19,19,"840000(Eight Lakh
Forty Thousand)",0,Lovely Professional University,IR-E-U-0379,PG-Integrated [5 Years Program(s)]
2020-21,372,151,"562000(Five Lacs
Sixty two thousand)",143,Aligarh Muslim University,IR-E-U-0496,UG [4 Years Program(s)]
2021-22,385,307,"550000(Five Lacs fifty
thousand)",78,Aligarh Muslim University,IR-E-U-0496,UG [4 Years Program(s)]
2022-23,379,312,600000(Six Lacs),67,Aligarh Muslim University,IR-E-U-0496,UG [4 Years Program(s)]
2020-21,108,22,"475000(Four Lacs
seventy five thousand)",59,Aligarh Muslim University,IR-E-U-0496,PG [2 Years Program(s)]
2021-22,103,13,"475000(Four Lacs
seventy five thousand)",47,Aligarh Muslim University,IR-E-U-0496,PG [2 Years Program(s)]
2022-23,134,18,"587000(Five lacs
Eighty Seven
thousand)",53,Aligarh Muslim University,IR-E-U-0496,PG [2 Years Program(s)]
2020-21,1072,549,"405000( four lakhs five
thousand only )",302,Jawaharlal Nehru Technological University,IR-E-U-0017,UG [4 Years Program(s)]
2021-22,1150,589,"550000(five lakhs fifty
thousand only)",423,Jawaharlal Nehru Technological University,IR-E-U-0017,UG [4 Years Program(s)]
2022-23,1220,1100,"625000(Six lakhs
twenty five thousand
only)",120,Jawaharlal Nehru Technological University,IR-E-U-0017,UG [4 Years Program(s)]
2020-21,379,195,"400000(four lakhs
only)",52,Jawaharlal Nehru Technological University,IR-E-U-0017,PG [2 Years Program(s)]
2021-22,402,286,"550000(five lakhs fifty
thousand only)",65,Jawaharlal Nehru Technological University,IR-E-U-0017,PG [2 Years Program(s)]
2020-21,0,0,0(Zero),0,Visvesvaraya Technological University,IR-E-U-0249,UG [4 Years Program(s)]
2021-22,0,0,0(Zero),0,Visvesvaraya Technological University,IR-E-U-0249,UG [4 Years Program(s)]
2022-23,0,0,0(Zero),0,Visvesvaraya Technological University,IR-E-U-0249,UG [4 Years Program(s)]
2020-21,395,222,"375000(Three lakh
seventy five thousand
only)",173,Visvesvaraya Technological University,IR-E-U-0249,PG [2 Years Program(s)]
2021-22,310,137,"373000(Three lakh
seventy three
thousand)",170,Visvesvaraya Technological University,IR-E-U-0249,PG [2 Years Program(s)]
2022-23,365,210,"540000(Five lakh forty
thousand only)",155,Visvesvaraya Technological University,IR-E-U-0249,PG [2 Years Program(s)]
2020-21,171,55,"345000(Three Lakh
Forty Five Thousand)",31,Shoolini University of Biotechnology and Management Sciences,IR-E-U-0190,UG [4 Years Program(s)]
2021-22,191,56,"379000(Three Lakh
Seventy Nine
Thousand)",49,Shoolini University of Biotechnology and Management Sciences,IR-E-U-0190,UG [4 Years Program(s)]
2022-23,237,130,"400000(Four Lakh
Only)",52,Shoolini University of Biotechnology and Management Sciences,IR-E-U-0190,UG [4 Years Program(s)]
2020-21,14,5,"328000(Three Lacs
and Twenty Eight
Thousand Only)",6,Shoolini University of Biotechnology and Management Sciences,IR-E-U-0190,PG [2 Years Program(s)]
2021-22,30,6,"500000(Five Lacs
Only)",18,Shoolini University of Biotechnology and Management Sciences,IR-E-U-0190,PG [2 Years Program(s)]
2020-21,1634,1192,"450000(Four Lakh Fifty
Thousand)",11,UPES,IR-E-U-0564,UG [4 Years Program(s)]
2021-22,1562,762,500000(Five Lakh),49,UPES,IR-E-U-0564,UG [4 Years Program(s)]
2022-23,925,900,"650000(Six Lakh Fifty
Thousand)",17,UPES,IR-E-U-0564,UG [4 Years Program(s)]
2020-21,130,98,"480000(Four Lakh
Eighty Thousand)",0,UPES,IR-E-U-0564,PG [2 Years Program(s)]
2021-22,177,155,"588000(Five Lakh
Eighty Eight
Thousand)",12,UPES,IR-E-U-0564,PG [2 Years Program(s)]
2022-23,181,161,600000(Six Lakh),5,UPES,IR-E-U-0564,PG [2 Years Program(s)]
2020-21,3775,1953,"649000(Six Lakh Forty
Nine Thousand)",74,Kalinga Institute of Industrial Technology,IR-E-U-0356,UG [4 Years Program(s)]
2021-22,3789,1751,"450000(Four Lakh Fifty
Thousand)",101,Kalinga Institute of Industrial Technology,IR-E-U-0356,UG [4 Years Program(s)]
2022-23,3619,2636,"750000(Seven Lakh
Fifty Thousand)",85,Kalinga Institute of Industrial Technology,IR-E-U-0356,UG [4 Years Program(s)]
2020-21,106,98,800000(Eight Lakh ),8,Kalinga Institute of Industrial Technology,IR-E-U-0356,PG [2 Years Program(s)]
2021-22,111,103,800000(Eight Lakh ),8,Kalinga Institute of Industrial Technology,IR-E-U-0356,PG [2 Years Program(s)]
2022-23,114,105,800000(Eight Lakh ),9,Kalinga Institute of Industrial Technology,IR-E-U-0356,PG [2 Years Program(s)]
2020-21,2103,1211,"500000(Rupees Five
Lakh Only)",143,Anna University,IR-E-U-0439,UG [4 Years Program(s)]
2021-22,2633,1669,"630000(Rupees Six
Lakh Thirty Thousand
Only)",142,Anna University,IR-E-U-0439,UG [4 Years Program(s)]
2022-23,1961,1593,"750000(Rupees Seven
Lakh Fifty Thousand
Only)",165,Anna University,IR-E-U-0439,UG [4 Years Program(s)]
2020-21,1052,356,"500000(Rupees Five
Lakh Only)",69,Anna University,IR-E-U-0439,PG [2 Years Program(s)]
2021-22,696,241,"550000(Rupees Five
Lakh Fifty Thousand
Only)",27,Anna University,IR-E-U-0439,PG [2 Years Program(s)]
2020-21,1120,683,800000(Eight Lakh),70,R V College of Engineering,IR-E-C-1269,UG [4 Years Program(s)]
2021-22,1062,791,"850000(Eight Lakh
Fifty Thousand)",80,R V College of Engineering,IR-E-C-1269,UG [4 Years Program(s)]
2022-23,1072,810,"1000000(Ten lakhs
only )",95,R V College of Engineering,IR-E-C-1269,UG [4 Years Program(s)]
2020-21,277,182,"662000(six lakhs sixty
two thousand only)",4,R V College of Engineering,IR-E-C-1269,PG [2 Years Program(s)]
2021-22,284,211,600000(six lakhs only),4,R V College of Engineering,IR-E-C-1269,PG [2 Years Program(s)]
2022-23,236,190,"700000(seven lakhs
only )",3,R V College of Engineering,IR-E-C-1269,PG [2 Years Program(s)]
2020-21,95,54,900000(nine lakhs),11,Indian Institute of Technology Jammu,IR-E-U-0906,UG [4 Years Program(s)]
2021-22,128,93,1600000(sixteen lakhs),11,Indian Institute of Technology Jammu,IR-E-U-0906,UG [4 Years Program(s)]
2022-23,179,134,1600000(sixteen lakhs),16,Indian Institute of Technology Jammu,IR-E-U-0906,UG [4 Years Program(s)]
2020-21,36,23,1100000(eleven lakhs),2,Indian Institute of Technology Jammu,IR-E-U-0906,PG [2 Years Program(s)]
2021-22,46,36,"1800000(eighteen
lakhs)",4,Indian Institute of Technology Jammu,IR-E-U-0906,PG [2 Years Program(s)]
2020-21,0,0,0(Zero),0,Indian Institute of Technology Jammu,IR-E-U-0906,PG [3 Years Program(s)]
2021-22,0,0,0(Zero),0,Indian Institute of Technology Jammu,IR-E-U-0906,PG [3 Years Program(s)]
2022-23,5,4,"2737000(twenty seven
lakhs thirty seven
thousand)",1,Indian Institute of Technology Jammu,IR-E-U-0906,PG [3 Years Program(s)]
2020-21,597,453,"1870000(Rs Eighteen
Lakh Seventy
Thousand)",73,Indian Institute of Technology Guwahati,IR-E-U-0053,UG [4 Years Program(s)]
2021-22,649,583,"2250000(Rs Twenty
Two Lakh Fifty
Thousand)",43,Indian Institute of Technology Guwahati,IR-E-U-0053,UG [4 Years Program(s)]
2022-23,697,639,"2160000(Rupees
Twenty one lakhs sixty
three thousands)",51,Indian Institute of Technology Guwahati,IR-E-U-0053,UG [4 Years Program(s)]
2020-21,659,258,"1250000(Rs Tewlve
Lakh Fifty Thousand)",242,Indian Institute of Technology Guwahati,IR-E-U-0053,PG [2 Years Program(s)]
2021-22,567,357,"1350000(Rs Thirteen
Lakh Fifty Thousand)",190,Indian Institute of Technology Guwahati,IR-E-U-0053,PG [2 Years Program(s)]
2020-21,765,694,"1600000(Rupees
Sixteen Lakh Only)",41,Indian Institute of Technology Banaras Hindu University Varanasi,IR-E-U-0701,UG [4 Years Program(s)]
2021-22,783,748,"1896000(Rupees
Eighteen Lakh Ninety
Six Thousand Only)",32,Indian Institute of Technology Banaras Hindu University Varanasi,IR-E-U-0701,UG [4 Years Program(s)]
2022-23,954,915,"2000000(Rupees
Twenty Lakh only)",35,Indian Institute of Technology Banaras Hindu University Varanasi,IR-E-U-0701,UG [4 Years Program(s)]
2020-21,251,217,"1600000(Rupees
Sixteen Lakh Only)",15,Indian Institute of Technology Banaras Hindu University Varanasi,IR-E-U-0701,UG [5 Years Program(s)]
2021-22,265,241,"1896000(Rupees
Eighteen Lakh Ninety
Six Thousand Only)",24,Indian Institute of Technology Banaras Hindu University Varanasi,IR-E-U-0701,UG [5 Years Program(s)]
2022-23,247,234,"2150000(Rupees
Twenty One Lakh Fifty
Thousand Only)",10,Indian Institute of Technology Banaras Hindu University Varanasi,IR-E-U-0701,UG [5 Years Program(s)]
2020-21,369,268,"1600000(Rupees
Sixteen Lakh Only)",83,Indian Institute of Technology Banaras Hindu University Varanasi,IR-E-U-0701,PG [2 Years Program(s)]
2021-22,288,258,"1800000(Rupees
Eighteen Lakh Only)",26,Indian Institute of Technology Banaras Hindu University Varanasi,IR-E-U-0701,PG [2 Years Program(s)]
2022-23,223,188,"1200000(Rupees
Twelve Lakh Only)",30,Indian Institute of Technology Banaras Hindu University Varanasi,IR-E-U-0701,PG [2 Years Program(s)]
2020-21,2001,1009,"650000(Six Lakhs Fifty
Thousand)",186,Manipal Institute of Technology,IR-E-C-7252,UG [4 Years Program(s)]
2021-22,1879,1090,800000(Eight Lakhs),229,Manipal Institute of Technology,IR-E-C-7252,UG [4 Years Program(s)]
2022-23,1664,1136,"888250(Eight Lakhs
Eighty Eight Thousand
Two Hundred Fifty)",281,Manipal Institute of Technology,IR-E-C-7252,UG [4 Years Program(s)]
2020-21,390,214,"750000(Seven Lakhs
Fifty Thousand)",7,Manipal Institute of Technology,IR-E-C-7252,PG [2 Years Program(s)]
2021-22,461,309,"746460(Seven lakhs
forty six thousand four
hundred sixty)",5,Manipal Institute of Technology,IR-E-C-7252,PG [2 Years Program(s)]
2020-21,2265,1671,"445000(Four lakh forty
five thousand)",489,Amrita Vishwa Vidyapeetham,IR-E-U-0436,UG [4 Years Program(s)]
2021-22,2058,1621,"450000(Four lakh fifty
thousand)",252,Amrita Vishwa Vidyapeetham,IR-E-U-0436,UG [4 Years Program(s)]
2022-23,2267,1834,"724000(Seven lakh
twenty four thousand )",433,Amrita Vishwa Vidyapeetham,IR-E-U-0436,UG [4 Years Program(s)]
2020-21,361,162,"575000(Five lakh
seventy five thousand)",154,Amrita Vishwa Vidyapeetham,IR-E-U-0436,PG [2 Years Program(s)]
2021-22,681,489,"640500(Six lakh forty
thousand five hundred)",172,Amrita Vishwa Vidyapeetham,IR-E-U-0436,PG [2 Years Program(s)]
2020-21,120,111,"2953000(Twenty Nine
Lakh Fifty Three
Thousand)",8,International Institute of Information Technology Hyderabad,IR-E-U-0014,UG [4 Years Program(s)]
2021-22,155,141,"3036000(Thirty Lakh
Thirty Six Thousand)",11,International Institute of Information Technology Hyderabad,IR-E-U-0014,UG [4 Years Program(s)]
2022-23,154,140,"3030000(Thirty Lakh
Thirty Thousand)",14,International Institute of Information Technology Hyderabad,IR-E-U-0014,UG [4 Years Program(s)]
2020-21,83,78,"2400000(Twenty Four
Lakhs)",5,International Institute of Information Technology Hyderabad,IR-E-U-0014,UG [5 Years Program(s)]
2021-22,100,94,"2798000(Twenty
Seven Lakhs Ninety
Eight Thousand)",2,International Institute of Information Technology Hyderabad,IR-E-U-0014,UG [5 Years Program(s)]
2022-23,36,33,"2700000(Twenty
Seven Lakhs)",3,International Institute of Information Technology Hyderabad,IR-E-U-0014,UG [5 Years Program(s)]
2020-21,143,138,"1870000(Eighteen
Lakhs Seventy
Thousand)",5,International Institute of Information Technology Hyderabad,IR-E-U-0014,PG [2 Years Program(s)]
2021-22,136,122,"2195000(Twenty One
Lakhs Ninety Five
Thousand)",10,International Institute of Information Technology Hyderabad,IR-E-U-0014,PG [2 Years Program(s)]
2022-23,137,133,"2200000(Twenty Two
Lakhs)",4,International Institute of Information Technology Hyderabad,IR-E-U-0014,PG [2 Years Program(s)]
2020-21,467,36,400000(Four Lakh),103,Christ University,IR-E-U-0217,UG [4 Years Program(s)]
2021-22,444,38,500000(Five Lakh),96,Christ University,IR-E-U-0217,UG [4 Years Program(s)]
2022-23,373,280,"516000(Five Lakhs
Sixteen Thousand)",69,Christ University,IR-E-U-0217,UG [4 Years Program(s)]
2020-21,16,11,"520000(Five Lakh
Twenty Thousand)",2,Christ University,IR-E-U-0217,PG [2 Years Program(s)]
2021-22,36,21,"516000(Five Lakh
Sixteen Thousand)",3,Christ University,IR-E-U-0217,PG [2 Years Program(s)]
2022-23,38,23,"540000(Five Lakhs
Forty Thousand)",2,Christ University,IR-E-U-0217,PG [2 Years Program(s)]
2020-21,796,448,"760000(Seven lakh
and sixty thousand)",110,National Institute of Technology Raipur,IR-E-U-0092,UG [4 Years Program(s)]
2021-22,816,627,900000(Nine Lakhs),80,National Institute of Technology Raipur,IR-E-U-0092,UG [4 Years Program(s)]
2022-23,969,734,"950000(Nine lakh Fifty
thousand)",50,National Institute of Technology Raipur,IR-E-U-0092,UG [4 Years Program(s)]
2020-21,114,24,60000(Six Lakh),20,National Institute of Technology Raipur,IR-E-U-0092,PG [2 Years Program(s)]
2021-22,126,37,"650000(Six lakh fifty
thousand)",10,National Institute of Technology Raipur,IR-E-U-0092,PG [2 Years Program(s)]
2020-21,14,3,"575000(Five lakh and
seventy five thousand)",4,National Institute of Technology Raipur,IR-E-U-0092,PG [3 Years Program(s)]
2021-22,17,0,0(Zero),0,National Institute of Technology Raipur,IR-E-U-0092,PG [3 Years Program(s)]
2022-23,15,0,0(Zero),0,National Institute of Technology Raipur,IR-E-U-0092,PG [3 Years Program(s)]
2020-21,1859,911,"360000(Three Lakh
Sixty Thousand)",130,Vel Tech Rangarajan Dr Sagunthala R D Institute of Science and Technology,IR-E-U-0489,UG [4 Years Program(s)]
2021-22,1873,1010,"383000(Three Lakh
Eighty Three
Thousand)",181,Vel Tech Rangarajan Dr Sagunthala R D Institute of Science and Technology,IR-E-U-0489,UG [4 Years Program(s)]
2022-23,2273,1328,"400000(Rupees Four
Lakh Only)",377,Vel Tech Rangarajan Dr Sagunthala R D Institute of Science and Technology,IR-E-U-0489,UG [4 Years Program(s)]
2020-21,102,90,"500000(Rupees Five
Lakh Only)",3,Vel Tech Rangarajan Dr Sagunthala R D Institute of Science and Technology,IR-E-U-0489,PG [2 Years Program(s)]
2021-22,96,91,"500000(Rupees Five
Lakh Only)",1,Vel Tech Rangarajan Dr Sagunthala R D Institute of Science and Technology,IR-E-U-0489,PG [2 Years Program(s)]
2020-21,1209,631,500000(Five Lakh),146,Manipal University Jaipur,IR-E-U-0749,UG [4 Years Program(s)]
2021-22,1145,709,"650000(Six Lakh Fifty
Thousand)",121,Manipal University Jaipur,IR-E-U-0749,UG [4 Years Program(s)]
2022-23,1256,678,600000(Six Lakh),157,Manipal University Jaipur,IR-E-U-0749,UG [4 Years Program(s)]
2020-21,8,2,600000(Six Lakhs),0,Manipal University Jaipur,IR-E-U-0749,PG [2 Years Program(s)]
2021-22,10,6,600000(Six Lakhs),1,Manipal University Jaipur,IR-E-U-0749,PG [2 Years Program(s)]
2022-23,11,11,700000(Seven Lakhs),0,Manipal University Jaipur,IR-E-U-0749,PG [2 Years Program(s)]
2020-21,920,431,"594000(Five Lakh
Ninety Four Thousand)",122,Chitkara University,IR-E-U-0373,UG [4 Years Program(s)]
2021-22,1078,859,"760000(Seven Lakh
Sixty Thousand)",65,Chitkara University,IR-E-U-0373,UG [4 Years Program(s)]
2022-23,1450,569,600000(Six Lakh),145,Chitkara University,IR-E-U-0373,UG [4 Years Program(s)]
2020-21,0,0,0(Zero),0,Chitkara University,IR-E-U-0373,PG [2 Years Program(s)]
2021-22,0,0,0(Zero),0,Chitkara University,IR-E-U-0373,PG [2 Years Program(s)]
2020-21,23,23,"500000(Five Lacs
Only)",0,Chitkara University,IR-E-U-0373,PG [3 Years Program(s)]
2021-22,8,8,600000(Six Lacs Only),0,Chitkara University,IR-E-U-0373,PG [3 Years Program(s)]
2022-23,6,6,"750000(Seven Lacs
Fifty Thousand Only)",0,Chitkara University,IR-E-U-0373,PG [3 Years Program(s)]
2020-21,358,234,600000(Six Lakh),97,Jamia Millia Islamia,IR-E-U-0108,UG [4 Years Program(s)]
2021-22,359,270,"750000(Seven Lac
Fifty Thousand)",82,Jamia Millia Islamia,IR-E-U-0108,UG [4 Years Program(s)]
2022-23,353,292,1100000(Eleven Lac),61,Jamia Millia Islamia,IR-E-U-0108,UG [4 Years Program(s)]
2020-21,158,98,"660000(Six Lac Sixty
Thousand)",49,Jamia Millia Islamia,IR-E-U-0108,PG [2 Years Program(s)]
2021-22,161,120,1000000(Ten Lac),32,Jamia Millia Islamia,IR-E-U-0108,PG [2 Years Program(s)]
2022-23,157,126,1300000(Thirteen Lac),31,Jamia Millia Islamia,IR-E-U-0108,PG [2 Years Program(s)]
2020-21,672,541,"1760000(Seventeen
Lakh Sixty Thousand )",101,Indian Institute of Technology Delhi,IR-E-I-1074,UG [4 Years Program(s)]
2021-22,685,621,"2050000(Twenty Lakh
Fifty Thousand)",64,Indian Institute of Technology Delhi,IR-E-I-1074,UG [4 Years Program(s)]
2022-23,835,676,2000000(Twenty Lakh),50,Indian Institute of Technology Delhi,IR-E-I-1074,UG [4 Years Program(s)]
2020-21,94,77,"2200000(Twenty Two
Lakh)",6,Indian Institute of Technology Delhi,IR-E-I-1074,UG [5 Years Program(s)]
2021-22,80,80,2000000(Twenty Lakh),0,Indian Institute of Technology Delhi,IR-E-I-1074,UG [5 Years Program(s)]
2020-21,867,379,"1500000(Fifteen
Thousand)",240,Indian Institute of Technology Delhi,IR-E-I-1074,PG [2 Years Program(s)]
2021-22,813,322,"1250000(Twelve Lakh
Fifty Thousand)",159,Indian Institute of Technology Delhi,IR-E-I-1074,PG [2 Years Program(s)]
2022-23,827,308,"1400000(Fourteen
Lakh)",112,Indian Institute of Technology Delhi,IR-E-I-1074,PG [2 Years Program(s)]
2020-21,143,112,"1800000(Eighteen
Lakh)",27,Indian Institute of Technology Mandi,IR-E-U-0184,UG [4 Years Program(s)]
2021-22,187,157,"2100000(Twenty One
Lakh)",25,Indian Institute of Technology Mandi,IR-E-U-0184,UG [4 Years Program(s)]
2022-23,232,207,"2200000(Twenty two
lakhs)",24,Indian Institute of Technology Mandi,IR-E-U-0184,UG [4 Years Program(s)]
2020-21,0,0,0(Zero),0,Indian Institute of Technology Mandi,IR-E-U-0184,UG [5 Years Program(s)]
2021-22,0,0,0(Zero),0,Indian Institute of Technology Mandi,IR-E-U-0184,UG [5 Years Program(s)]
2020-21,235,109,"650000(Six lakh fifty
thousand)",121,Indian Institute of Technology Mandi,IR-E-U-0184,PG [2 Years Program(s)]
2021-22,168,87,"720000(Seven lakh
twenty thousand)",74,Indian Institute of Technology Mandi,IR-E-U-0184,PG [2 Years Program(s)]
2022-23,247,145,800000(Eight Lakh),91,Indian Institute of Technology Mandi,IR-E-U-0184,PG [2 Years Program(s)]
2020-21,1089,961,"470000(Four Lakh
Seventy Thousand
only)",84,C V Raman Global University Odisha,IR-E-C-30045,UG [4 Years Program(s)]
2021-22,1037,968,"500000(Five Lakh
only)",69,C V Raman Global University Odisha,IR-E-C-30045,UG [4 Years Program(s)]
