Indian Medicinal Plant,Plant Part,IMPPAT Phytochemical Identifier,Phytochemical Name,References,Structural Formula,Compound URL
Cheilocostus speciosus,,IMPHY003636,Protodioscin,ISBN:9788172362140,OC[C@H]1O[C@@H](O[C@H]2CC[C@]3(C(=CC[C@@H]4[C@@H]3CC[C@]3([C@H]4C[C@H]4[C@@H]3[C@H](C)[C@@](O4)(O)CC[C@H](CO[C@@H]3O[C@H](CO)[C@H]([C@@H]([C@H]3O)O)O)C)C)C2)C)[C@@H]([C@H]([C@@H]1O[C@@H]1O[C@@H](C)[C@@H]([C@H]([C@H]1O)O)O)O)O[C@@H]1O[C@@H](C)[C@@H]([C@H]([C@H]1O)O)O,https://cb.imsc.res.in/imppat/phytochemical-detailedpage/IMPHY003636
Cheilocostus speciosus,,IMPHY003681,Diosgenin,"DOI:10.15482/usda.adc/1239279, ISBN:9788172362133, ISBN:9788172362140, PMID:26222585, PMID:26329920, PMID:7997486",C[C@@H]1CC[C@@]2(OC1)O[C@@H]1[C@H]([C@@H]2C)[C@@]2([C@@H](C1)[C@@H]1CC=C3[C@]([C@H]1CC2)(C)CC[C@@H](C3)O)C,https://cb.imsc.res.in/imppat/phytochemical-detailedpage/IMPHY003681
Cheilocostus speciosus,,IMPHY003734,Prosapogenin A,ISBN:9788172362140,OC[C@H]1O[C@@H](O[C@H]2CC[C@]3(C(=CC[C@@H]4[C@@H]3CC[C@]3([C@H]4C[C@H]4[C@@H]3[C@H](C)[C@]3(O4)CC[C@H](CO3)C)C)C2)C)[C@@H]([C@H]([C@@H]1O)O)O[C@@H]1O[C@@H](C)[C@@H]([C@H]([C@H]1O)O)O,https://cb.imsc.res.in/imppat/phytochemical-detailedpage/IMPHY003734
Cheilocostus speciosus,,IMPHY003952,Cycloartanol,"ISBN:9788171360536, ISBN:9788172362140, PMID:28480734",CC(CCC[C@H]([C@H]1CC[C@@]2([C@]1(C)CC[C@@]13[C@H]2CC[C@@H]2[C@]3(C1)CC[C@@H](C2(C)C)O)C)C)C,https://cb.imsc.res.in/imppat/phytochemical-detailedpage/IMPHY003952
Cheilocostus speciosus,,IMPHY004519,Methyl Tritriacontanoate,ISBN:9788172362140,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(=O)OC,https://cb.imsc.res.in/imppat/phytochemical-detailedpage/IMPHY004519
Cheilocostus speciosus,,IMPHY004631,Stearic acid,ISBN:9788172362140,CCCCCCCCCCCCCCCCCC(=O)O,https://cb.imsc.res.in/imppat/phytochemical-detailedpage/IMPHY004631
Cheilocostus speciosus,,IMPHY004887,14-Oxo-octadecanoic acid,ISBN:9788171360536,CCCCC(=O)CCCCCCCCCCCCC(=O)O,https://cb.imsc.res.in/imppat/phytochemical-detailedpage/IMPHY004887
Cheilocostus speciosus,,IMPHY006971,Methyl palmitate,ISBN:9788172362140,CCCCCCCCCCCCCCCC(=O)OC,https://cb.imsc.res.in/imppat/phytochemical-detailedpage/IMPHY006971
Cheilocostus speciosus,,IMPHY007212,Docosanoic acid,ISBN:9788172362140,CCCCCCCCCCCCCCCCCCCCCC(=O)O,https://cb.imsc.res.in/imppat/phytochemical-detailedpage/IMPHY007212
Cheilocostus speciosus,,IMPHY007213,Methyl stearate,ISBN:9788172362140,CCCCCCCCCCCCCCCCCC(=O)OC,https://cb.imsc.res.in/imppat/phytochemical-detailedpage/IMPHY007213
Cheilocostus speciosus,,IMPHY007327,Palmitic acid,"ISBN:9788172362140, PMID:28480734",CCCCCCCCCCCCCCCC(=O)O,https://cb.imsc.res.in/imppat/phytochemical-detailedpage/IMPHY007327
Cheilocostus speciosus,,IMPHY007574,Curcumin,DOI:10.15482/usda.adc/1239279,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(c(c2)OC)O)ccc1O,https://cb.imsc.res.in/imppat/phytochemical-detailedpage/IMPHY007574
Cheilocostus speciosus,,IMPHY009378,Methyl triacontanoate,"ISBN:9788171360536, ISBN:9788172362140",CCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(=O)OC,https://cb.imsc.res.in/imppat/phytochemical-detailedpage/IMPHY009378
Cheilocostus speciosus,,IMPHY009545,24-Hydroxytriacontan-26-one,ISBN:9788172362140,CCCCCCCCCCCCCCCCCCCCCCCC(CC(=O)CCCC)O,https://cb.imsc.res.in/imppat/phytochemical-detailedpage/IMPHY009545
Cheilocostus speciosus,,IMPHY009563,Tetradecyl 13-methylpentadecanoate,"DOI:10.15482/usda.adc/1239279, ISBN:9788171360536, ISBN:9788172362140",CCCCCCCCCCCCCCOC(=O)CCCCCCCCCCCC(CC)C,https://cb.imsc.res.in/imppat/phytochemical-detailedpage/IMPHY009563
Cheilocostus speciosus,,IMPHY009564,OC(Ccccccccccccccccc(ccccc)=O)ccccccc,ISBN:9788172362140,CCCCCCCC(CCCCCCCCCCCCCCCCC(=O)CCCCC)O,https://cb.imsc.res.in/imppat/phytochemical-detailedpage/IMPHY009564
Cheilocostus speciosus,,IMPHY009565,Tetradecyl 11-methyltridecanoate,"DOI:10.15482/usda.adc/1239279, ISBN:9788171360536, ISBN:9788172362140",CCCCCCCCCCCCCCOC(=O)CCCCCCCCCC(CC)C,https://cb.imsc.res.in/imppat/phytochemical-detailedpage/IMPHY009565
Cheilocostus speciosus,,IMPHY010545,Tetracosanyl stearate,ISBN:9788172362140,CCCCCCCCCCCCCCCCCCCCCCCCOC(=O)CCCCCCCCCCCCCCCCC,https://cb.imsc.res.in/imppat/phytochemical-detailedpage/IMPHY010545
Cheilocostus speciosus,,IMPHY010908,alpha-Tocopherolquinone,ISBN:9788172362140,C[C@H](CCC[C@@H](CCCC(C)C)C)CCC[C@](CCC1=C(C)C(=O)C(=C(C1=O)C)C)(O)C,https://cb.imsc.res.in/imppat/phytochemical-detailedpage/IMPHY010908
Cheilocostus speciosus,,IMPHY011394,Arachidic acid,ISBN:9788172362140,CCCCCCCCCCCCCCCCCCCC(=O)O,https://cb.imsc.res.in/imppat/phytochemical-detailedpage/IMPHY011394
Cheilocostus speciosus,,IMPHY011642,Cycloartenol,ISBN:9788172362140,CC(=CCC[C@H]([C@H]1CC[C@@]2([C@]1(C)CC[C@@]13[C@H]2CC[C@@H]2[C@]3(C1)CC[C@@H](C2(C)C)O)C)C)C,https://cb.imsc.res.in/imppat/phytochemical-detailedpage/IMPHY011642
Cheilocostus speciosus,,IMPHY011797,Oleic acid,ISBN:9788172362140,CCCCCCCC/C=CCCCCCCCC(=O)O,https://cb.imsc.res.in/imppat/phytochemical-detailedpage/IMPHY011797
Cheilocostus speciosus,,IMPHY012223,beta-Amyrin,ISBN:9788172362140,O[C@H]1CC[C@]2([C@H](C1(C)C)CC[C@@]1([C@@H]2CC=C2[C@@]1(C)CC[C@@]1([C@H]2CC(C)(C)CC1)C)C)C,https://cb.imsc.res.in/imppat/phytochemical-detailedpage/IMPHY012223
Cheilocostus speciosus,,IMPHY012273,Tigogenin,DOI:10.15482/usda.adc/1239279,C[C@@H]1CC[C@@]2(OC1)O[C@@H]1[C@H]([C@@H]2C)[C@@]2([C@@H](C1)[C@@H]1CC[C@@H]3[C@]([C@H]1CC2)(C)CC[C@@H](C3)O)C,https://cb.imsc.res.in/imppat/phytochemical-detailedpage/IMPHY012273
Cheilocostus speciosus,,IMPHY012579,Methyl protodioscin,"ISBN:9788171360536, ISBN:9788172362140",OCC1OC(OC2CCC3(C(=CCC4C3CCC3(C4CC4C3C(C)C(O4)(OC)CCC(COC3OC(CO)C(C(C3O)O)O)C)C)C2)C)C(C(C1OC1OC(C)C(C(C1O)O)O)O)OC1OC(C)C(C(C1O)O)O,https://cb.imsc.res.in/imppat/phytochemical-detailedpage/IMPHY012579
Cheilocostus speciosus,,IMPHY012761,Gadoleic acid,ISBN:9788172362140,CCCCCCCCCC/C=CCCCCCCCC(=O)O,https://cb.imsc.res.in/imppat/phytochemical-detailedpage/IMPHY012761
Cheilocostus speciosus,,IMPHY013636,14-Oxotricosanoic acid,ISBN:9788172362140,CCCCCCCCCC(=O)CCCCCCCCCCCCC(=O)O,https://cb.imsc.res.in/imppat/phytochemical-detailedpage/IMPHY013636
Cheilocostus speciosus,,IMPHY013651,14-Oxoheptacosanoic acid,ISBN:9788172362140,CCCCCCCCCCCCCC(=O)CCCCCCCCCCCCC(=O)O,https://cb.imsc.res.in/imppat/phytochemical-detailedpage/IMPHY013651
Cheilocostus speciosus,,IMPHY014733,15-Oxo-octacosanoic acid,"DOI:10.15482/usda.adc/1239279, ISBN:9788172362140",CCCCCCCCCCCCCC(=O)CCCCCCCCCCCCCC(=O)O,https://cb.imsc.res.in/imppat/phytochemical-detailedpage/IMPHY014733
Cheilocostus speciosus,,IMPHY014836,beta-Sitosterol,DOI:10.15482/usda.adc/1239279,CC[C@@H](C(C)C)CC[C@H]([C@H]1CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2CC=C2[C@]1(C)CC[C@@H](C2)O)C,https://cb.imsc.res.in/imppat/phytochemical-detailedpage/IMPHY014836
Cheilocostus speciosus,,IMPHY014990,Linoleic acid,ISBN:9788172362140,CCCCC/C=CC/C=CCCCCCCCC(=O)O,https://cb.imsc.res.in/imppat/phytochemical-detailedpage/IMPHY014990
