CollegeID,College_name,City,State,Score,Rank
IR-E-U-0476,Shanmugha Arts Science Technology and Research Academy,Thanjavur,Tamil Nadu,57.97,38.0
IR-E-U-0334,Visvesvaraya National Institute of Technology Nagpur,Nagpur,Maharashtra,57.89,39.0
IR-E-U-0055,National Institute of Technology Silchar,Silchar,Assam,57.6,40.0
IR-E-U-0308,Institute of Chemical Technology,Mumbai,Maharashtra,56.93,41.0
IR-E-U-0564,UPES,Dehradun,Uttarakhand,56.65,42.0
IR-E-U-0410,Malaviya National Institute of Technology,Jaipur,Rajasthan,56.35,43.0
IR-E-U-0577,National Institute of Technology Durgapur,Durgapur,West Bengal,56.26,44.0
IR-E-U-0622,National Institute of Technology Delhi,Delhi,Delhi,55.67,45.0
IR-E-C-16604,Sri Sivasubramaniya Nadar College of Engineering,Kalavakkam,Tamil Nadu,55.01,46.0
IR-E-U-0014,International Institute of Information Technology Hyderabad,Hyderabad,Telangana,54.29,47.0
IR-E-U-0202,Birla Institute of Technology,Ranchi,Jharkhand,54.18,48.0
IR-E-U-0584,"Indian Institute of Engineering Science and Technology, Shibpur",Howrah,West Bengal,54.17,49.0
IR-E-U-0379,Lovely Professional University,Phagwara,Punjab,54.16,50.0
IR-E-U-0255,Indian Institute of Space Science and Technology,Thiruvananthapuram,Kerala,53.13,51.0
IR-E-U-0555,Graphic Era University,Dehradun,Uttarakhand,52.96,52.0
IR-E-I-1441,Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,52.85,53.0
IR-E-U-0355,Indian Institute of Technology Bhubaneswar,Bhubaneswar,Odisha,52.54,54.0
IR-E-U-0072,National Institute of Technology Patna,Patna,Bihar,52.28,55.0
IR-E-C-7252,Manipal Institute of Technology,Manipal,Karnataka,52.12,56.0
IR-E-C-6379,Netaji Subhas University of Technology (NSUT),Delhi,Delhi,51.52,57.0
IR-E-U-0374,Dr. B R Ambedkar National Institute of Technology Jalandhar,Jalandhar,Punjab,51.11,58.0
IR-E-U-0149,Sardar Vallabhbhai National Institute of Technology,SURAT,Gujarat,51.04,59.0
IR-E-U-0530,Motilal Nehru National Institute of Technology,Prayagraj,Uttar Pradesh,50.65,60.0
IR-E-U-0844,Indian Institute of Technology Tirupati,YERPEDU,Andhra Pradesh,50.58,61.0
IR-E-U-0906,Indian Institute of Technology Jammu,Jammu,Jammu and Kashmir,50.53,62.0
IR-E-U-0297,Defence Institute of Advanced Technology,Pune,Maharashtra,50.37,63.0
IR-E-U-0749,"Manipal University, Jaipur",Jaipur,Rajasthan,50.24,64.0
IR-E-U-0878,Indian Institute of Technology Palakkad,Palakkad,Kerala,50.24,64.0
