Match_ID,Team,Opponent,Batting Position,Batsman_Name,Dismissal,Runs,Balls,Minutes Spent,4s,6s,Strike Rate
T20I # 1879,Pakistan,England,1,Mohammad Rizwan †,b Curran,15,14,24,0,1,107.14
T20I # 1879,Pakistan,England,2,Babar Azam (c),c & b Rashid,32,28,58,2,0,114.28
T20I # 1879,Pakistan,England,3,Mohammad Haris,c Stokes b Rashid,8,12,15,1,0,66.66
T20I # 1879,Pakistan,England,4,Shan Masood,c Livingstone b Curran,38,28,46,2,1,135.71
T20I # 1879,Pakistan,England,5,Iftikhar Ahmed,c †Buttler b Stokes,0,6,8,0,0,0.00
T20I # 1879,Pakistan,England,6,Shadab Khan,c Woakes b Jordan,20,14,26,2,0,142.85
T20I # 1879,Pakistan,England,7,Mohammad Nawaz,c Livingstone b Curran,5,7,11,0,0,71.42
T20I # 1879,Pakistan,England,8,Mohammad Wasim,c Livingstone b Jordan,4,8,12,0,0,50.00
T20I # 1879,Pakistan,England,9,Shaheen Shah Afridi,not out,5,3,8,1,0,166.66
T20I # 1879,Pakistan,England,10,Haris Rauf,not out,1,1,3,0,0,100.00
T20I # 1879,England,Pakistan,1,Jos Buttler (c)†,c †Mohammad Rizwan b Haris Rauf,26,17,33,3,1,152.94
T20I # 1879,England,Pakistan,2,Alex Hales,b Shaheen Shah Afridi,1,2,6,0,0,50.00
T20I # 1879,England,Pakistan,3,Phil Salt,c Iftikhar Ahmed b Haris Rauf,10,9,16,2,0,111.11
T20I # 1879,England,Pakistan,4,Ben Stokes,not out,52,49,81,5,1,106.12
T20I # 1879,England,Pakistan,5,Harry Brook,c Shaheen Shah Afridi b Shadab Khan,20,23,36,1,0,86.95
T20I # 1879,England,Pakistan,6,Moeen Ali,b Mohammad Wasim,19,13,30,3,0,146.15
T20I # 1879,England,Pakistan,7,Liam Livingstone,not out,1,1,3,0,0,100.00
T20I # 1878,India,England,1,KL Rahul,c †Buttler b Woakes,5,5,8,1,0,100.00
T20I # 1878,India,England,2,Rohit Sharma (c),c Curran b Jordan,27,28,37,4,0,96.42
T20I # 1878,India,England,3,Virat Kohli,c Rashid b Jordan,50,40,75,4,1,125.00
T20I # 1878,India,England,4,Suryakumar Yadav,c Salt b Rashid,14,10,14,1,1,140.00
T20I # 1878,India,England,5,Hardik Pandya,hit wicket b Jordan,63,33,47,4,5,190.90
